name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Acinetobacter baumannii	470	species	4470189	21758	21676	0.0
Enterobacteriaceae	543	family	12257242	1	0	0.0
Klebsiella pneumoniae	573	species	15313680	1	1	0.0
Cyanobacteria	1117	phylum	4890598	7	7	0.0
Chroococcales	1118	order	4979926	2	0	0.0
Synechococcus	1129	genus	2744871	1	0	0.0
Synechocystis	1142	genus	3570073	1	0	0.0
Synechocystis sp. PCC 6803	1148	species	3570073	6	0	0.0
Oscillatoriales	1150	order	7831139	2	0	0.0
Nostocales	1161	order	6778883	6	0	0.0
Nostocaceae	1162	family	7733756	55	0	0.0
Nostoc	1177	genus	9280782	1	0	0.0
Rivulariaceae	1185	family	0	42	0	0.0
Calothrix	1186	genus	0	56	0	0.0
Prochlorococcus	1218	genus	1799150	1	0	0.0
Micrococcus luteus	1270	species	4996790	1	1	0.0
Enterococcus	1350	genus	3047471	1	0	0.0
Enterococcus faecium	1352	species	2880142	125	8	0.0
Bacillus	1386	genus	6486421	1	0	0.0
Bacillus licheniformis	1402	species	8445242	1	1	0.0
Clostridium	1485	genus	4671230	1	0	0.0
Clostridium botulinum	1491	species	4218882	73	68	0.0
Clostridium tetani	1513	species	2869591	42040	41963	0.0
Lactiplantibacillus plantarum	1590	species	5352135	726	726	0.0
Spiroplasma gladiatoris	2143	species	1164642	1	0	0.0
Saccharomycetaceae	4893	family	10747628	1	0	0.0
Pichia kudriavzevii	4909	species	10812555	2	0	0.0
Brettanomyces bruxellensis	5007	species	13150648	6	6	0.0
Sphingomonas paucimobilis	13689	species	20917910	4	0	0.0
Gloeothece	28070	genus	7198058	270	0	0.0
Synechococcus sp. PCC 7002	32049	species	3409935	2	0	0.0
Lactobacillaceae	33958	family	3272674	2	0	0.0
Rickettsia japonica	35790	species	1283087	57	57	0.0
Mycoplasma mycoides subsp. capri	40477	subspecies	23810155	1	1	0.0
Xenorhabdus bovienii	40576	species	4225498	1	0	0.0
