['HiC_scaffold_2', 113376000]
['HiC_scaffold_1', 111094000]
['HiC_scaffold_5', 99465566]
['HiC_scaffold_8', 97072500]
['HiC_scaffold_6', 90420792]
['HiC_scaffold_3', 86571460]
['HiC_scaffold_9', 79301036]
['HiC_scaffold_7', 73640000]
['HiC_scaffold_4', 65980500]
['HiC_scaffold_11', 1435376]
['HiC_scaffold_31', 616655]
['HiC_scaffold_32', 472691]
['HiC_scaffold_238', 395155]
['HiC_scaffold_99', 281000]
['HiC_scaffold_191', 277902]
['HiC_scaffold_202', 240274]
['HiC_scaffold_74', 213276]
['HiC_scaffold_10', 212695]
['HiC_scaffold_91', 208990]
['HiC_scaffold_89', 202865]
['HiC_scaffold_201', 202128]
['HiC_scaffold_77', 196074]
['HiC_scaffold_62', 177236]
['HiC_scaffold_94', 175211]
['HiC_scaffold_104', 172605]
['HiC_scaffold_193', 172169]
['HiC_scaffold_21', 165359]
['HiC_scaffold_237', 164383]
['HiC_scaffold_76', 163324]
['HiC_scaffold_192', 161758]
['HiC_scaffold_68', 158262]
['HiC_scaffold_12', 157302]
['HiC_scaffold_13', 153551]
['HiC_scaffold_14', 144958]
['HiC_scaffold_50', 143335]
['HiC_scaffold_17', 138626]
['HiC_scaffold_205', 134954]
['HiC_scaffold_79', 134155]
['HiC_scaffold_60', 132805]
['HiC_scaffold_105', 129574]
['HiC_scaffold_41', 129031]
['HiC_scaffold_19', 127734]
['HiC_scaffold_217', 126595]
['HiC_scaffold_51', 120236]
['HiC_scaffold_39', 116865]
['HiC_scaffold_64', 114797]
['HiC_scaffold_53', 112100]
['HiC_scaffold_106', 110717]
['HiC_scaffold_107', 109623]
['HiC_scaffold_83', 109138]
['HiC_scaffold_200', 109003]
['HiC_scaffold_108', 108537]
['HiC_scaffold_199', 106124]
['HiC_scaffold_198', 104707]
['HiC_scaffold_109', 104561]
['HiC_scaffold_18', 104186]
['HiC_scaffold_59', 103655]
['HiC_scaffold_197', 102826]
['HiC_scaffold_196', 98546]
['HiC_scaffold_110', 96775]
['HiC_scaffold_47', 96712]
['HiC_scaffold_195', 95026]
['HiC_scaffold_75', 94778]
['HiC_scaffold_204', 91634]
['HiC_scaffold_63', 89430]
['HiC_scaffold_98', 88500]
['HiC_scaffold_213', 88250]
['HiC_scaffold_101', 88000]
['HiC_scaffold_212', 87767]
['HiC_scaffold_36', 87731]
['HiC_scaffold_194', 87390]
['HiC_scaffold_93', 87082]
['HiC_scaffold_203', 86516]
['HiC_scaffold_209', 86100]
['HiC_scaffold_111', 85928]
['HiC_scaffold_112', 85590]
['HiC_scaffold_92', 85572]
['HiC_scaffold_216', 84988]
['HiC_scaffold_215', 84342]
['HiC_scaffold_113', 83834]
['HiC_scaffold_114', 81476]
['HiC_scaffold_52', 80740]
['HiC_scaffold_88', 80014]
['HiC_scaffold_48', 74398]
['HiC_scaffold_115', 74097]
['HiC_scaffold_84', 73816]
['HiC_scaffold_33', 73314]
['HiC_scaffold_15', 71870]
['HiC_scaffold_102', 70000]
['HiC_scaffold_116', 69985]
['HiC_scaffold_16', 69424]
['HiC_scaffold_54', 68215]
['HiC_scaffold_117', 68066]
['HiC_scaffold_118', 68038]
['HiC_scaffold_119', 66854]
['HiC_scaffold_239', 66617]
['HiC_scaffold_42', 66552]
['HiC_scaffold_34', 66300]
['HiC_scaffold_120', 65111]
['HiC_scaffold_206', 63383]
['HiC_scaffold_236', 63000]
['HiC_scaffold_121', 62611]
['HiC_scaffold_49', 62465]
['HiC_scaffold_26', 60626]
['HiC_scaffold_122', 59863]
['HiC_scaffold_57', 57728]
['HiC_scaffold_72', 57202]
['HiC_scaffold_71', 55952]
['HiC_scaffold_70', 55899]
['HiC_scaffold_123', 55180]
