['h1tg000001l', 102842140]
['h1tg000004l', 99483747]
['h1tg000008l', 80864136]
['h1tg000005l', 74898327]
['h1tg000002l', 73662154]
['h1tg000010l', 61097409]
['h1tg000006l', 52602435]
['h1tg000016l', 41018276]
['h1tg000013l', 35938373]
['h1tg000019l', 35103991]
['h1tg000009l', 25671355]
['h1tg000014l', 22197475]
['h1tg000007l', 19218358]
['h1tg000017l', 18675365]
['h1tg000011l', 17645633]
['h1tg000015l', 17505205]
['h1tg000012l', 13179734]
['h1tg000021l', 5343857]
['h1tg000022l', 4554644]
['h1tg000003l', 4518288]
['h1tg000018l', 3762756]
['h1tg000025l', 2378349]
['h1tg000024l', 1845150]
['h1tg000026l', 1293257]
['h1tg000023l', 712270]
['h1tg000020l', 561356]
['h1tg000027c', 476715]
['h1tg000029l', 255649]
['h1tg000031l', 166696]
['h1tg000028c', 116865]
['h1tg000037l', 89214]
['h1tg000030l', 60626]
['h1tg000032l', 45499]
['h1tg000033l', 40525]
['h1tg000036l', 32429]
['h1tg000035l', 22152]
['h1tg000034l', 17484]
