['ptg000001l', 102842181]
['ptg000004l', 99483723]
['ptg000008l', 80864125]
['ptg000005l', 74898327]
['ptg000002l', 73662153]
['ptg000010l', 61097415]
['ptg000006l', 52602436]
['ptg000016l', 41018278]
['ptg000013l', 35938373]
['ptg000019l', 35103991]
['ptg000009l', 25671354]
['ptg000014l', 22197517]
['ptg000007l', 20777141]
['ptg000017l', 18675364]
['ptg000011l', 17645633]
['ptg000015l', 17505208]
['ptg000012l', 13179734]
['ptg000021l', 8293131]
['ptg000022l', 4554644]
['ptg000003l', 4518288]
['ptg000018l', 3762756]
['ptg000024l', 1845151]
['ptg000023l', 712270]
['ptg000020l', 561356]
['ptg000025c', 476715]
['ptg000028l', 255649]
['ptg000030l', 166696]
['ptg000027l', 143335]
['ptg000026c', 116865]
['ptg000035l', 89214]
['ptg000029l', 60626]
['ptg000031l', 45499]
['ptg000038l', 38763]
['ptg000037l', 33032]
['ptg000034l', 32429]
['ptg000046l', 24836]
['ptg000043l', 24772]
['ptg000041l', 24089]
['ptg000040l', 22186]
['ptg000033l', 22152]
['ptg000039l', 22091]
['ptg000044l', 21585]
['ptg000049l', 20972]
['ptg000042l', 20109]
['ptg000032l', 17484]
['ptg000036l', 16283]
['ptg000051l', 8432]
['ptg000048l', 7893]
['ptg000047l', 7855]
['ptg000050l', 7802]
['ptg000045l', 6865]
