#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000019l:18363712-18367902 -            403 103418at3193         -            298    4e-161  533.8   2.2   1   1    2e-162  1.3e-159  528.9   2.2     1   298    72   403    72   403 0.93 -
h1tg000001l:80442413-80447381 -            415 103418at3193         -            298  1.4e-134  446.6   1.0   1   2  1.6e-133    1e-130  434.0   0.5     1   270    68   356    68   362 0.95 -
h1tg000001l:80442413-80447381 -            415 103418at3193         -            298  1.4e-134  446.6   1.0   2   2   9.9e-05     0.065   11.1   0.0   272   298   387   415   382   415 0.88 -
h1tg000005l:73799990-73803198 -            412 103418at3193         -            298    6e-126  418.3   1.7   1   2  1.6e-125  1.1e-122  407.7   0.5     1   270    65   353    65   358 0.95 -
h1tg000005l:73799990-73803198 -            412 103418at3193         -            298    6e-126  418.3   1.7   2   2   0.00022      0.14    9.9   0.0   276   298   390   412   380   412 0.87 -
h1tg000019l:8682846-8685017   -            365 103418at3193         -            298  3.8e-120  399.3   0.0   1   1  7.7e-123    5e-120  398.9   0.0     1   270    64   353    64   357 0.95 -
h1tg000016l:34044879-34046515 -            414 103418at3193         -            298  9.2e-120  398.0   1.6   1   2  1.7e-121  1.1e-118  394.4   0.5     1   270    71   360    71   364 0.95 -
h1tg000016l:34044879-34046515 -            414 103418at3193         -            298  9.2e-120  398.0   1.6   2   2     0.036        24    2.7   0.0   274   298   390   414   379   414 0.90 -
h1tg000009l:15916856-15919750 -            415 103418at3193         -            298  7.3e-118  391.8   1.0   1   2  1.7e-120  1.1e-117  391.2   0.8     1   271    74   363    74   366 0.94 -
h1tg000009l:15916856-15919750 -            415 103418at3193         -            298  7.3e-118  391.8   1.0   2   2         4   2.6e+03   -4.0   0.0   274   290   392   408   389   414 0.78 -
h1tg000019l:17405008-17408559 -            346 103418at3193         -            298  4.6e-117  389.1   0.6   1   2    2e-118  1.3e-115  384.3   0.2     3   270     1   286     1   292 0.93 -
h1tg000019l:17405008-17408559 -            346 103418at3193         -            298  4.6e-117  389.1   0.6   2   2     0.025        16    3.2   0.0   275   298   323   346   312   346 0.85 -
h1tg000015l:9051736-9055895   -            401 103418at3193         -            298  1.4e-112  374.4   0.6   1   1  1.6e-114  1.1e-111  371.5   0.6     1   272    67   347    67   352 0.92 -
h1tg000004l:2197821-2202931   -            395 103418at3193         -            298  2.1e-107  357.4   0.0   1   1  4.1e-110  2.7e-107  357.1   0.0     1   271    49   338    49   343 0.96 -
h1tg000004l:98707563-98710695 -            406 103418at3193         -            298   1.7e-91  305.2   0.0   1   2   7.3e-91   4.8e-88  293.9   0.0     1   270    64   350    64   356 0.91 -
h1tg000004l:98707563-98710695 -            406 103418at3193         -            298   1.7e-91  305.2   0.0   2   2   0.00035      0.23    9.3   0.0   271   297   378   406   375   406 0.84 -
h1tg000020l:132356-136858     -            366 103418at3193         -            298   1.9e-75  252.5   0.1   1   1   3.9e-78   2.6e-75  252.1   0.1     1   271    21   303    21   321 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/103418at3193.hmm
# Target file:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/hmmer_output/initial_run_results/103418at3193.out --cpu 1 /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/103418at3193.hmm /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas 
# Current dir:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default
# Date:            Mon Oct 17 13:48:28 2022
# [ok]
