['HiC_scaffold_7', 112597038]
['HiC_scaffold_4', 110725665]
['HiC_scaffold_3', 99236718]
['HiC_scaffold_6', 97024229]
['HiC_scaffold_2', 89627802]
['HiC_scaffold_8', 84009334]
['HiC_scaffold_5', 79021000]
['HiC_scaffold_1', 72347166]
['HiC_scaffold_9', 65956684]
['HiC_scaffold_98', 647350]
['HiC_scaffold_70', 447714]
['HiC_scaffold_142', 394678]
['HiC_scaffold_114', 359000]
['HiC_scaffold_55', 300762]
['HiC_scaffold_135', 276000]
['HiC_scaffold_97', 229000]
['HiC_scaffold_106', 228000]
['HiC_scaffold_52', 217650]
['HiC_scaffold_80', 188296]
['HiC_scaffold_131', 186704]
['HiC_scaffold_99', 179350]
['HiC_scaffold_71', 156000]
['HiC_scaffold_73', 143714]
['HiC_scaffold_11', 143335]
['HiC_scaffold_64', 140286]
['HiC_scaffold_78', 129000]
['HiC_scaffold_92', 128000]
['HiC_scaffold_115', 127000]
['HiC_scaffold_68', 119286]
['HiC_scaffold_122', 118632]
['HiC_scaffold_17', 116865]
['HiC_scaffold_146', 110816]
['HiC_scaffold_117', 108000]
['HiC_scaffold_136', 96000]
['HiC_scaffold_43', 94000]
['HiC_scaffold_54', 92588]
['HiC_scaffold_82', 88000]
['HiC_scaffold_10', 87316]
['HiC_scaffold_96', 73000]
['HiC_scaffold_116', 71584]
['HiC_scaffold_12', 67500]
['HiC_scaffold_67', 66714]
['HiC_scaffold_34', 62286]
['HiC_scaffold_42', 61391]
['HiC_scaffold_95', 60650]
['HiC_scaffold_28', 60626]
['HiC_scaffold_143', 59037]
['HiC_scaffold_102', 56000]
['HiC_scaffold_100', 53000]
['HiC_scaffold_14', 51500]
['HiC_scaffold_69', 51286]
['HiC_scaffold_21', 50000]
['HiC_scaffold_30', 50000]
['HiC_scaffold_77', 50000]
['HiC_scaffold_90', 49000]
['HiC_scaffold_113', 47416]
['HiC_scaffold_33', 45286]
['HiC_scaffold_65', 43714]
['HiC_scaffold_104', 42350]
['HiC_scaffold_16', 40525]
['HiC_scaffold_44', 40000]
['HiC_scaffold_91', 38350]
['HiC_scaffold_56', 36984]
['HiC_scaffold_66', 36000]
['HiC_scaffold_123', 35768]
['HiC_scaffold_147', 34379]
['HiC_scaffold_50', 33000]
['HiC_scaffold_20', 32429]
['HiC_scaffold_93', 32000]
['HiC_scaffold_32', 31714]
['HiC_scaffold_83', 31000]
['HiC_scaffold_105', 30650]
['HiC_scaffold_139', 30624]
['HiC_scaffold_23', 30000]
['HiC_scaffold_144', 29281]
['HiC_scaffold_88', 29016]
['HiC_scaffold_25', 28286]
['HiC_scaffold_121', 27839]
['HiC_scaffold_22', 25000]
['HiC_scaffold_24', 25000]
['HiC_scaffold_36', 25000]
['HiC_scaffold_37', 25000]
['HiC_scaffold_38', 25000]
['HiC_scaffold_57', 25000]
['HiC_scaffold_62', 25000]
['HiC_scaffold_76', 25000]
['HiC_scaffold_13', 24000]
['HiC_scaffold_35', 24000]
['HiC_scaffold_74', 22504]
['HiC_scaffold_18', 22152]
['HiC_scaffold_84', 22000]
['HiC_scaffold_110', 21491]
['HiC_scaffold_133', 20719]
['HiC_scaffold_109', 20489]
['HiC_scaffold_79', 20442]
['HiC_scaffold_31', 20000]
['HiC_scaffold_60', 19234]
['HiC_scaffold_15', 19000]
['HiC_scaffold_26', 18000]
['HiC_scaffold_75', 18000]
['HiC_scaffold_19', 17484]
['HiC_scaffold_137', 16925]
['HiC_scaffold_140', 16089]
['HiC_scaffold_59', 15623]
['HiC_scaffold_27', 15391]
['HiC_scaffold_119', 15000]
['HiC_scaffold_39', 14531]
['HiC_scaffold_112', 14401]
['HiC_scaffold_29', 13609]
['HiC_scaffold_85', 13000]
['HiC_scaffold_40', 11141]
['HiC_scaffold_45', 11000]
['HiC_scaffold_145', 10800]
['HiC_scaffold_126', 10608]
['HiC_scaffold_138', 10469]
['HiC_scaffold_47', 10000]
['HiC_scaffold_51', 9215]
['HiC_scaffold_127', 9075]
['HiC_scaffold_63', 8984]
['HiC_scaffold_107', 8000]
['HiC_scaffold_101', 7650]
['HiC_scaffold_46', 7391]
['HiC_scaffold_58', 7000]
['HiC_scaffold_130', 6064]
['HiC_scaffold_72', 6000]
['HiC_scaffold_141', 5323]
['HiC_scaffold_86', 4650]
['HiC_scaffold_129', 4558]
['HiC_scaffold_120', 4448]
['HiC_scaffold_87', 4000]
['HiC_scaffold_111', 4000]
['HiC_scaffold_124', 4000]
['HiC_scaffold_125', 3509]
['HiC_scaffold_53', 3000]
['HiC_scaffold_128', 3000]
['HiC_scaffold_108', 2334]
['HiC_scaffold_48', 2000]
['HiC_scaffold_49', 2000]
['HiC_scaffold_134', 2000]
['HiC_scaffold_41', 1000]
['HiC_scaffold_61', 1000]
['HiC_scaffold_81', 1000]
['HiC_scaffold_89', 1000]
['HiC_scaffold_94', 1000]
['HiC_scaffold_103', 1000]
['HiC_scaffold_118', 1000]
['HiC_scaffold_132', 1000]
