# BUSCO version is: 5.4.3 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2020-09-10, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at3193	Complete	HiC_scaffold_11	1384052	1418973	-	4680.5	3808	https://www.orthodb.org/v10?query=2at3193	Midasin
5at3193	Complete	HiC_scaffold_9	8738648	8762028	+	5982.3	3884	https://www.orthodb.org/v10?query=5at3193	sacsin
23at3193	Complete	HiC_scaffold_11	21210857	21234426	-	6369.8	3849	https://www.orthodb.org/v10?query=23at3193	auxin transport protein BIG
79at3193	Complete	HiC_scaffold_8	25449342	25465335	+	4068.4	2712	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
241at3193	Complete	HiC_scaffold_11	94014062	94043682	-	3423.5	2069	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
255at3193	Complete	HiC_scaffold_11	27653074	27682325	+	3890.4	2082	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR
364at3193	Complete	HiC_scaffold_4	87010478	87032529	-	2037.1	1651	https://www.orthodb.org/v10?query=364at3193	WD40-repeat-containing domain
438at3193	Complete	HiC_scaffold_6	61863997	61879480	+	3787.5	1986	https://www.orthodb.org/v10?query=438at3193	dnaJ homolog subfamily C GRV2
453at3193	Complete	HiC_scaffold_11	16007714	16037770	+	2411.2	1625	https://www.orthodb.org/v10?query=453at3193	HEAT repeat-containing protein 5B isoform X1
469at3193	Complete	HiC_scaffold_1	97814542	97835485	-	2735.9	1814	https://www.orthodb.org/v10?query=469at3193	Zinc finger FYVE domain-containing protein 26 isoform 2
727at3193	Complete	HiC_scaffold_9	108142412	108164542	+	2789.8	1455	https://www.orthodb.org/v10?query=727at3193	endoribonuclease Dicer homolog 1
827at3193	Complete	HiC_scaffold_8	20722055	20734822	+	1802.0	1577	https://www.orthodb.org/v10?query=827at3193	Protein virilizer
840at3193	Complete	HiC_scaffold_4	19223631	19238614	+	2855.7	1658	https://www.orthodb.org/v10?query=840at3193	DNA polymerase A
938at3193	Complete	HiC_scaffold_8	31756508	31767813	-	1950.1	1315	https://www.orthodb.org/v10?query=938at3193	Tetratricopeptide-like helical
1073at3193	Complete	HiC_scaffold_1	107991361	108006679	+	1842.2	1481	https://www.orthodb.org/v10?query=1073at3193	Zinc finger, PHD-type
1171at3193	Complete	HiC_scaffold_6	62741955	62760064	+	2333.1	1539	https://www.orthodb.org/v10?query=1171at3193	nuclear pore complex protein NUP205
1259at3193	Missing
1332at3193	Complete	HiC_scaffold_8	22139029	22155619	-	1954.9	1229	https://www.orthodb.org/v10?query=1332at3193	UDP-glucose:glycoprotein glucosyltransferase
1388at3193	Complete	HiC_scaffold_3	34609021	34623788	-	1770.0	1411	https://www.orthodb.org/v10?query=1388at3193	E3 ubiquitin-protein ligase listerin
1440at3193	Complete	HiC_scaffold_4	88230898	88242005	-	2725.5	1341	https://www.orthodb.org/v10?query=1440at3193	intron-binding protein aquarius
1521at3193	Complete	HiC_scaffold_4	91923868	91932793	+	1525.0	1046	https://www.orthodb.org/v10?query=1521at3193	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
1578at3193	Complete	HiC_scaffold_11	34814606	34845580	+	2044.7	1327	https://www.orthodb.org/v10?query=1578at3193	protein MON2 homolog isoform X1
1589at3193	Complete	HiC_scaffold_4	9390062	9408181	-	2077.0	1409	https://www.orthodb.org/v10?query=1589at3193	protein SHOOT GRAVITROPISM 6 isoform X1
1664at3193	Complete	HiC_scaffold_10	51304841	51326028	-	2671.0	1556	https://www.orthodb.org/v10?query=1664at3193	Embryo defective 2410
1816at3193	Complete	HiC_scaffold_1	80193806	80201273	-	2366.4	1609	https://www.orthodb.org/v10?query=1816at3193	thyroid adenoma-associated protein homolog
1822at3193	Complete	HiC_scaffold_11	20309436	20316289	+	1154.7	925	https://www.orthodb.org/v10?query=1822at3193	histone-lysine N-methyltransferase SUVR5
1914at3193	Complete	HiC_scaffold_8	28514040	28524737	-	1423.8	889	https://www.orthodb.org/v10?query=1914at3193	ATPase, AAA-type, conserved site
1916at3193	Complete	HiC_scaffold_2	57211405	57249481	-	1803.0	1124	https://www.orthodb.org/v10?query=1916at3193	DNA polymerase
1998at3193	Complete	HiC_scaffold_8	18422019	18440280	+	1378.1	1135	https://www.orthodb.org/v10?query=1998at3193	nuclear pore complex protein NUP160
2028at3193	Complete	HiC_scaffold_2	50632490	50649362	-	1840.5	1086	https://www.orthodb.org/v10?query=2028at3193	protein NAP1
2050at3193	Complete	HiC_scaffold_8	25177983	25185992	-	1555.7	1223	https://www.orthodb.org/v10?query=2050at3193	autophagy-related protein 2
2203at3193	Complete	HiC_scaffold_1	21432008	21442031	-	1949.5	1275	https://www.orthodb.org/v10?query=2203at3193	WD40-repeat-containing domain
2325at3193	Complete	HiC_scaffold_6	63892641	63909992	+	1649.5	1190	https://www.orthodb.org/v10?query=2325at3193	Dicer dimerisation domain
2329at3193	Complete	HiC_scaffold_10	73202132	73206624	-	2459.9	1195	https://www.orthodb.org/v10?query=2329at3193	magnesium-chelatase subunit ChlH, chloroplastic
2653at3193	Complete	HiC_scaffold_7	1708984	1718303	+	2080.2	1208	https://www.orthodb.org/v10?query=2653at3193	WD40-repeat-containing domain
2661at3193	Complete	HiC_scaffold_10	3248702	3267835	-	1895.1	1192	https://www.orthodb.org/v10?query=2661at3193	ABC transporter C family member 13 isoform X1
2694at3193	Complete	HiC_scaffold_9	19884950	19898834	-	1977.2	1104	https://www.orthodb.org/v10?query=2694at3193	protein PIR
2770at3193	Complete	HiC_scaffold_8	27023919	27033989	+	1494.7	1042	https://www.orthodb.org/v10?query=2770at3193	nuclear pore complex protein NUP133
2834at3193	Complete	HiC_scaffold_11	225131	249943	-	2169.1	1526	https://www.orthodb.org/v10?query=2834at3193	Putative P-loop containing nucleoside triphosphate hydrolase
2844at3193	Complete	HiC_scaffold_9	16989475	17005047	+	2039.3	1170	https://www.orthodb.org/v10?query=2844at3193	cleavage and polyadenylation specificity factor subunit 1
2884at3193	Complete	HiC_scaffold_6	50116770	50130662	-	1289.4	888	https://www.orthodb.org/v10?query=2884at3193	protein TONSOKU isoform X1
2921at3193	Complete	HiC_scaffold_11	90367270	90372269	-	1920.8	1197	https://www.orthodb.org/v10?query=2921at3193	pentatricopeptide repeat-containing protein At3g18110, chloroplastic
2926at3193	Duplicated	HiC_scaffold_3	81899968	81910287	-	1607.0	1032	https://www.orthodb.org/v10?query=2926at3193	trafficking protein particle complex II-specific subunit 130 homolog
2926at3193	Duplicated	HiC_scaffold_8	28969214	28978468	+	1834.5	1028	https://www.orthodb.org/v10?query=2926at3193	trafficking protein particle complex II-specific subunit 130 homolog
3052at3193	Complete	HiC_scaffold_2	36211757	36229963	-	1413.0	948	https://www.orthodb.org/v10?query=3052at3193	protein CHROMATIN REMODELING 20 isoform X1
3082at3193	Complete	HiC_scaffold_10	37449534	37459529	-	1293.0	935	https://www.orthodb.org/v10?query=3082at3193	Tetratricopeptide-like helical
3272at3193	Complete	HiC_scaffold_11	16446037	16454576	-	1802.9	1088	https://www.orthodb.org/v10?query=3272at3193	DNA ligase
3288at3193	Complete	HiC_scaffold_4	82775561	82789131	+	1267.5	849	https://www.orthodb.org/v10?query=3288at3193	DNA replication ATP-dependent helicase/nuclease DNA2 isoform X1
3322at3193	Complete	HiC_scaffold_1	79553563	79572365	+	1775.5	1245	https://www.orthodb.org/v10?query=3322at3193	Sister chromatid cohesion protein
3441at3193	Complete	HiC_scaffold_4	19274239	19278021	-	2236.9	1112	https://www.orthodb.org/v10?query=3441at3193	5-oxoprolinase
3493at3193	Complete	HiC_scaffold_2	49191536	49209422	-	2225.6	1532	https://www.orthodb.org/v10?query=3493at3193	rRNA biogenesis protein RRP5
3595at3193	Complete	HiC_scaffold_8	30419244	30423911	-	1590.9	1076	https://www.orthodb.org/v10?query=3595at3193	protein TORNADO 1
3662at3193	Complete	HiC_scaffold_9	14138090	14144657	-	1488.3	1034	https://www.orthodb.org/v10?query=3662at3193	Elongator complex protein 1
3704at3193	Complete	HiC_scaffold_9	21148236	21167565	+	1816.6	1067	https://www.orthodb.org/v10?query=3704at3193	Four-carbon acid sugar kinase, N-terminal domain
3755at3193	Complete	HiC_scaffold_3	5913738	5923793	+	1500.4	944	https://www.orthodb.org/v10?query=3755at3193	DNA-directed RNA polymerase I subunit 2
3935at3193	Complete	HiC_scaffold_11	22643427	22652272	+	1902.0	1012	https://www.orthodb.org/v10?query=3935at3193	P-type ATPase
3941at3193	Complete	HiC_scaffold_4	7374700	7398478	+	1321.9	987	https://www.orthodb.org/v10?query=3941at3193	trafficking protein particle complex subunit 8
3942at3193	Complete	HiC_scaffold_2	49178718	49186806	+	1722.5	1133	https://www.orthodb.org/v10?query=3942at3193	splicing factor 3B subunit 3
3971at3193	Complete	HiC_scaffold_1	14449610	14462332	+	1485.4	910	https://www.orthodb.org/v10?query=3971at3193	transcription initiation factor TFIID subunit 2
4051at3193	Complete	HiC_scaffold_2	50885756	50894100	-	1529.1	913	https://www.orthodb.org/v10?query=4051at3193	beta-galactosidase
4115at3193	Complete	HiC_scaffold_3	8898853	8912013	-	1672.5	945	https://www.orthodb.org/v10?query=4115at3193	Quinoprotein amine dehydrogenase, beta chain-like RIC1-like guanyl-nucleotide exchange factor
