# BUSCO version is: 5.4.3 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2020-09-10, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at3193	Complete	HiC_scaffold_6	1364052	1398973	-	4680.5	3808	https://www.orthodb.org/v10?query=2at3193	Midasin
5at3193	Complete	HiC_scaffold_7	103836062	103859442	-	5982.3	3884	https://www.orthodb.org/v10?query=5at3193	sacsin
23at3193	Complete	HiC_scaffold_6	21190857	21214426	-	6369.8	3849	https://www.orthodb.org/v10?query=23at3193	auxin transport protein BIG
79at3193	Complete	HiC_scaffold_8	19172769	19188762	-	4068.4	2712	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
241at3193	Complete	HiC_scaffold_6	93969062	93998682	-	3423.5	2069	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
255at3193	Complete	HiC_scaffold_6	27633074	27662325	+	3890.4	2082	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR
364at3193	Complete	HiC_scaffold_3	86773696	86795747	-	2037.1	1651	https://www.orthodb.org/v10?query=364at3193	WD40-repeat-containing domain
438at3193	Complete	HiC_scaffold_9	4696403	4711886	-	3787.5	1986	https://www.orthodb.org/v10?query=438at3193	dnaJ homolog subfamily C GRV2
453at3193	Complete	HiC_scaffold_6	15987714	16017770	+	2411.2	1625	https://www.orthodb.org/v10?query=453at3193	HEAT repeat-containing protein 5B isoform X1
469at3193	Complete	HiC_scaffold_4	97530470	97551413	-	2735.9	1814	https://www.orthodb.org/v10?query=469at3193	Zinc finger FYVE domain-containing protein 26 isoform 2
727at3193	Complete	HiC_scaffold_7	5210548	5232678	-	2789.8	1455	https://www.orthodb.org/v10?query=727at3193	endoribonuclease Dicer homolog 1
827at3193	Complete	HiC_scaffold_8	23903282	23916049	-	1802.0	1577	https://www.orthodb.org/v10?query=827at3193	Protein virilizer
840at3193	Complete	HiC_scaffold_3	19223631	19238614	+	2855.7	1658	https://www.orthodb.org/v10?query=840at3193	DNA polymerase A
938at3193	Complete	HiC_scaffold_8	12870291	12881596	+	1950.1	1315	https://www.orthodb.org/v10?query=938at3193	Tetratricopeptide-like helical
1073at3193	Complete	HiC_scaffold_4	107559789	107575107	+	1842.2	1481	https://www.orthodb.org/v10?query=1073at3193	Zinc finger, PHD-type
1171at3193	Complete	HiC_scaffold_9	3815819	3833928	-	2333.1	1539	https://www.orthodb.org/v10?query=1171at3193	nuclear pore complex protein NUP205
1259at3193	Missing
1332at3193	Complete	HiC_scaffold_8	22482485	22499075	+	1954.9	1229	https://www.orthodb.org/v10?query=1332at3193	UDP-glucose:glycoprotein glucosyltransferase
1388at3193	Complete	HiC_scaffold_2	34542109	34556876	-	1770.0	1411	https://www.orthodb.org/v10?query=1388at3193	E3 ubiquitin-protein ligase listerin
1440at3193	Complete	HiC_scaffold_3	87994116	88005223	-	2725.5	1341	https://www.orthodb.org/v10?query=1440at3193	intron-binding protein aquarius
