['contig_124', 82727]
['contig_113', 81093]
['contig_179', 80730]
['contig_115', 76534]
['contig_111', 70958]
['contig_109', 67103]
['contig_45', 66849]
['contig_180', 63350]
['contig_181', 62232]
['contig_26', 58289]
['contig_5', 56917]
['contig_108', 55715]
['contig_93', 53405]
['contig_133', 51804]
['contig_88', 50450]
['contig_64', 50205]
['contig_101', 48797]
['contig_66', 48738]
['contig_38', 48380]
['contig_41', 48377]
['contig_153', 47828]
['contig_147', 47736]
['contig_127', 47541]
['contig_150', 47415]
['contig_102', 46240]
['contig_172', 46093]
['contig_106', 46084]
['contig_74', 46057]
['contig_97', 46002]
['contig_114', 45901]
['contig_55', 45271]
['contig_42', 44894]
['contig_142', 44663]
['contig_75', 44537]
['contig_140', 44338]
['contig_76', 44269]
['contig_128', 44174]
['contig_61', 44159]
['contig_162', 44006]
['contig_131', 43780]
['contig_48', 43671]
['contig_27', 43560]
['contig_49', 43223]
['contig_174', 43164]
['contig_9', 42964]
['contig_154', 42922]
['contig_178', 42901]
['contig_69', 42889]
['contig_148', 42818]
['contig_79', 42741]
['contig_155', 42608]
['contig_137', 42586]
['contig_119', 42463]
['contig_80', 42422]
['contig_164', 42345]
['contig_51', 42143]
['contig_143', 42072]
['contig_163', 42048]
['contig_36', 41964]
['contig_125', 41700]
['contig_167', 41658]
['contig_43', 41519]
['contig_58', 41249]
['contig_87', 41246]
['contig_85', 41229]
['contig_17', 40989]
['contig_103', 40987]
['contig_19', 40910]
['contig_121', 40892]
['contig_145', 40875]
['contig_23', 40780]
['contig_25', 40722]
['contig_161', 40713]
['contig_98', 40637]
['contig_132', 40503]
['contig_70', 40490]
['contig_60', 40454]
['contig_136', 40450]
['contig_24', 40403]
['contig_30', 40403]
['contig_40', 40370]
['contig_168', 40106]
['contig_160', 39943]
['contig_62', 39824]
['contig_170', 39820]
['contig_1', 39745]
['contig_13', 39623]
['contig_107', 39601]
['contig_177', 39569]
['contig_86', 39528]
['contig_6', 39513]
['contig_81', 39463]
['contig_46', 39410]
['contig_118', 39378]
['contig_146', 39361]
['contig_112', 39317]
['contig_130', 39298]
['contig_169', 39252]
['contig_21', 39226]
['contig_14', 39208]
['contig_151', 39096]
['contig_35', 38915]
['contig_83', 38802]
['contig_94', 38646]
['contig_158', 38630]
['contig_31', 38573]
['contig_12', 38548]
['contig_20', 38413]
['contig_11', 38384]
['contig_33', 38327]
['contig_52', 38197]
['contig_15', 38176]
['contig_95', 38175]
['contig_171', 38056]
['contig_110', 37962]
['contig_68', 37908]
['contig_135', 37732]
['contig_120', 37523]
['contig_175', 37521]
['contig_8', 37417]
['contig_176', 37365]
['contig_39', 37325]
['contig_173', 37121]
['contig_99', 37083]
['contig_63', 37079]
['contig_138', 37049]
['contig_104', 37023]
['contig_4', 37018]
['contig_152', 36980]
['contig_44', 36975]
['contig_91', 36967]
['contig_134', 36802]
['contig_159', 36783]
['contig_157', 36584]
['contig_67', 36571]
['contig_117', 36565]
['contig_72', 36457]
['contig_73', 36193]
['contig_84', 36181]
['contig_71', 36171]
['contig_116', 36076]
['contig_28', 35828]
['contig_37', 35774]
['contig_182', 35594]
['contig_78', 35532]
['contig_57', 35488]
['contig_32', 35455]
['contig_156', 35441]
['contig_129', 35345]
['contig_65', 35343]
['contig_89', 35225]
['contig_144', 35209]
['contig_77', 34917]
['contig_139', 34538]
['contig_50', 34473]
['contig_29', 34251]
['contig_22', 34185]
['contig_18', 34154]
['contig_34', 34109]
['contig_53', 33873]
['contig_165', 33715]
['contig_126', 33663]
['contig_16', 33555]
['contig_47', 33546]
['contig_105', 33398]
['contig_122', 33317]
['contig_10', 32840]
['contig_7', 32398]
['contig_100', 32345]
['contig_2', 32315]
['contig_3', 31932]
['contig_166', 31723]
['contig_54', 31457]
['contig_82', 31193]
['contig_141', 31079]
['contig_90', 31063]
['contig_149', 30802]
['contig_59', 29092]
['contig_96', 28927]
['contig_56', 20310]
['contig_92', 16914]
['contig_123', 14627]
