['h1tg000001l', 111114853]
['h1tg000003l', 99474789]
['h1tg000007l', 80864141]
['h1tg000009l', 78748025]
['h1tg000004l', 74911303]
['h1tg000002l', 73676261]
['h1tg000006l', 62056766]
['h1tg000011l', 54623968]
['h1tg000005l', 52605666]
['h1tg000015l', 35816604]
['h1tg000008l', 33974771]
['h1tg000012l', 22194351]
['h1tg000013l', 17505205]
['h1tg000010l', 15035423]
['h1tg000019l', 4716140]
['h1tg000063l', 616655]
['h1tg000018l', 561356]
['h1tg000032c', 476715]
['h1tg000026l', 472691]
['h1tg000062c', 302026]
['h1tg000030l', 277902]
['h1tg000047l', 240274]
['h1tg000024l', 213276]
['h1tg000054l', 208990]
['h1tg000031l', 202865]
['h1tg000097l', 202128]
['h1tg000176l', 196074]
['h1tg000064l', 177236]
['h1tg000168l', 175211]
['h1tg000130l', 172605]
['h1tg000099l', 172169]
['h1tg000078l', 166696]
['h1tg000048l', 165359]
['h1tg000039l', 163324]
['h1tg000080l', 161758]
['h1tg000034l', 158262]
['h1tg000036l', 157302]
['h1tg000046l', 154642]
['h1tg000091l', 154035]
['h1tg000066l', 153551]
['h1tg000124l', 149542]
['h1tg000129l', 148623]
['h1tg000141l', 144958]
['h1tg000040l', 143365]
['h1tg000061l', 143335]
['h1tg000017l', 138626]
['h1tg000092l', 134954]
['h1tg000115l', 134155]
['h1tg000105l', 132805]
['h1tg000072l', 129574]
['h1tg000128l', 129031]
['h1tg000068l', 127734]
['h1tg000086l', 127656]
['h1tg000087l', 126595]
['h1tg000052l', 120589]
['h1tg000127l', 120236]
['h1tg000053c', 116865]
['h1tg000075l', 114797]
['h1tg000100l', 112100]
['h1tg000117l', 110717]
['h1tg000109c', 109623]
['h1tg000074l', 109138]
['h1tg000102l', 109003]
['h1tg000119l', 108537]
['h1tg000182l', 106124]
['h1tg000037l', 104707]
['h1tg000058l', 104561]
['h1tg000023l', 104186]
['h1tg000107l', 103655]
['h1tg000077l', 102826]
['h1tg000022l', 98546]
['h1tg000089l', 96775]
['h1tg000194l', 96712]
['h1tg000110l', 95026]
['h1tg000121l', 94778]
['h1tg000070l', 91634]
['h1tg000016l', 89430]
['h1tg000033l', 88250]
['h1tg000028l', 87767]
['h1tg000027l', 87731]
['h1tg000153l', 87390]
['h1tg000085l', 87082]
['h1tg000095l', 86516]
['h1tg000049l', 86100]
['h1tg000069l', 85928]
['h1tg000088l', 85590]
['h1tg000035l', 85572]
['h1tg000123l', 84988]
['h1tg000195l', 84342]
['h1tg000114l', 83834]
['h1tg000055l', 81476]
['h1tg000014l', 80740]
['h1tg000173l', 80014]
['h1tg000083l', 74398]
['h1tg000139l', 74097]
['h1tg000025l', 73816]
['h1tg000178l', 73314]
['h1tg000187l', 73057]
['h1tg000108l', 71870]
['h1tg000134l', 71038]
['h1tg000167l', 70532]
['h1tg000059l', 69985]
['h1tg000207l', 69424]
['h1tg000021l', 69338]
['h1tg000177l', 68889]
['h1tg000190l', 68215]
['h1tg000073l', 68066]
['h1tg000145l', 68038]
['h1tg000157l', 66854]
['h1tg000057l', 66552]
['h1tg000103l', 66300]
['h1tg000131l', 65111]
['h1tg000060l', 63383]
['h1tg000205l', 62611]
['h1tg000056l', 62465]
['h1tg000076l', 60626]
['h1tg000065l', 59863]
['h1tg000142l', 57728]
['h1tg000079l', 57695]
['h1tg000116l', 57202]
['h1tg000160l', 55952]
['h1tg000090l', 55899]
['h1tg000151l', 55180]
['h1tg000094c', 55143]
['h1tg000143l', 54639]
['h1tg000050l', 54601]
['h1tg000112l', 53687]
['h1tg000154l', 53246]
['h1tg000191l', 51850]
['h1tg000148l', 51306]
['h1tg000161l', 51123]
['h1tg000043l', 50343]
['h1tg000029l', 49999]
['h1tg000192l', 49196]
['h1tg000172l', 49191]
['h1tg000208l', 48969]
['h1tg000183l', 48265]
['h1tg000101l', 48122]
['h1tg000126l', 47630]
['h1tg000098l', 47327]
['h1tg000146l', 46818]
['h1tg000152l', 46360]
['h1tg000137l', 45583]
['h1tg000122l', 45499]
['h1tg000156l', 45480]
['h1tg000118l', 45397]
['h1tg000174l', 44930]
['h1tg000171l', 44905]
['h1tg000184l', 44426]
['h1tg000150l', 44192]
['h1tg000170l', 44163]
['h1tg000155l', 43925]
['h1tg000185l', 43889]
['h1tg000212l', 43715]
['h1tg000038c', 43547]
['h1tg000020l', 43064]
['h1tg000214l', 42943]
['h1tg000162l', 42290]
['h1tg000067l', 41551]
['h1tg000135l', 41207]
['h1tg000093l', 41127]
['h1tg000071l', 41055]
['h1tg000219l', 40831]
['h1tg000199l', 40570]
['h1tg000165l', 40525]
['h1tg000180l', 39926]
['h1tg000223l', 39198]
['h1tg000120l', 38923]
['h1tg000159l', 38634]
['h1tg000221l', 38542]
['h1tg000169l', 38293]
['h1tg000179l', 38186]
['h1tg000104l', 38004]
['h1tg000081l', 37961]
['h1tg000198l', 37042]
['h1tg000228l', 36976]
['h1tg000229l', 36756]
['h1tg000181l', 36560]
['h1tg000084l', 36391]
['h1tg000217l', 36160]
['h1tg000218l', 35684]
['h1tg000164l', 35601]
['h1tg000224l', 35214]
['h1tg000111l', 35032]
['h1tg000133l', 34803]
['h1tg000227l', 34656]
['h1tg000193l', 34441]
['h1tg000044l', 34371]
['h1tg000202l', 34235]
['h1tg000158l', 34147]
['h1tg000045l', 33889]
['h1tg000163l', 33494]
['h1tg000113l', 33396]
['h1tg000042l', 33068]
['h1tg000211l', 32583]
['h1tg000125l', 32508]
['h1tg000222l', 32429]
['h1tg000188l', 32114]
['h1tg000215l', 32058]
['h1tg000132l', 31615]
['h1tg000201l', 31445]
['h1tg000186l', 31193]
['h1tg000226l', 29876]
['h1tg000189l', 29748]
['h1tg000206l', 29736]
['h1tg000106l', 29650]
['h1tg000136l', 29280]
['h1tg000216l', 29099]
['h1tg000203l', 28993]
['h1tg000082l', 27688]
['h1tg000147l', 27256]
['h1tg000204l', 26916]
['h1tg000175l', 26814]
['h1tg000096l', 26093]
['h1tg000140l', 25373]
['h1tg000041l', 24894]
['h1tg000051l', 24204]
['h1tg000233l', 23781]
['h1tg000197l', 23687]
['h1tg000210l', 23429]
['h1tg000231l', 23101]
['h1tg000144l', 22939]
['h1tg000213l', 22921]
['h1tg000232l', 22720]
['h1tg000220l', 22373]
['h1tg000196l', 22332]
['h1tg000200l', 22152]
['h1tg000230l', 21820]
['h1tg000149l', 21699]
['h1tg000234l', 21074]
['h1tg000235l', 20885]
['h1tg000225l', 19922]
['h1tg000138l', 19781]
['h1tg000209l', 19282]
['h1tg000236l', 18278]
['h1tg000166l', 17484]
