# BUSCO version is: 5.4.3 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2020-09-10, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at3193	Complete	HiC_scaffold_3	1364153	1399074	-	4680.5	3808	https://www.orthodb.org/v10?query=2at3193	Midasin
5at3193	Complete	HiC_scaffold_7	103904300	103927680	-	5982.3	3884	https://www.orthodb.org/v10?query=5at3193	sacsin
23at3193	Complete	HiC_scaffold_3	21190958	21214527	-	6369.8	3849	https://www.orthodb.org/v10?query=23at3193	auxin transport protein BIG
79at3193	Complete	HiC_scaffold_8_MOD	19172270	19188263	-	4068.4	2712	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
241at3193	Complete	HiC_scaffold_3	93843309	93872929	-	3423.5	2069	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
255at3193	Complete	HiC_scaffold_3	27633175	27662426	+	3890.4	2082	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR
364at3193	Complete	HiC_scaffold_6	86756978	86779029	-	2037.1	1651	https://www.orthodb.org/v10?query=364at3193	WD40-repeat-containing domain
438at3193	Complete	HiC_scaffold_9	4697923	4713406	-	3787.5	1986	https://www.orthodb.org/v10?query=438at3193	dnaJ homolog subfamily C GRV2
453at3193	Complete	HiC_scaffold_3	15987815	16017871	+	2411.2	1625	https://www.orthodb.org/v10?query=453at3193	HEAT repeat-containing protein 5B isoform X1
469at3193	Complete	HiC_scaffold_1	105451433	105472376	-	2735.9	1814	https://www.orthodb.org/v10?query=469at3193	Zinc finger FYVE domain-containing protein 26 isoform 2
727at3193	Complete	HiC_scaffold_7	5212706	5234836	-	2789.8	1455	https://www.orthodb.org/v10?query=727at3193	endoribonuclease Dicer homolog 1
827at3193	Complete	HiC_scaffold_8_MOD	23902783	23915550	-	1802.0	1577	https://www.orthodb.org/v10?query=827at3193	Protein virilizer
840at3193	Complete	HiC_scaffold_6	19223984	19238967	+	2855.7	1658	https://www.orthodb.org/v10?query=840at3193	DNA polymerase A
938at3193	Complete	HiC_scaffold_8_MOD	12869792	12881097	+	1950.1	1315	https://www.orthodb.org/v10?query=938at3193	Tetratricopeptide-like helical
1073at3193	Complete	HiC_scaffold_1	115627671	115642989	+	1842.2	1481	https://www.orthodb.org/v10?query=1073at3193	Zinc finger, PHD-type
1171at3193	Complete	HiC_scaffold_9	3817339	3835448	-	2333.1	1539	https://www.orthodb.org/v10?query=1171at3193	nuclear pore complex protein NUP205
1259at3193	Missing
1332at3193	Complete	HiC_scaffold_8_MOD	22481986	22498576	+	1954.9	1229	https://www.orthodb.org/v10?query=1332at3193	UDP-glucose:glycoprotein glucosyltransferase
1388at3193	Complete	HiC_scaffold_5	34609047	34623814	-	1770.0	1411	https://www.orthodb.org/v10?query=1388at3193	E3 ubiquitin-protein ligase listerin
1440at3193	Complete	HiC_scaffold_6	87977398	87988505	-	2725.5	1341	https://www.orthodb.org/v10?query=1440at3193	intron-binding protein aquarius
1521at3193	Complete	HiC_scaffold_6	91670368	91679293	+	1525.0	1046	https://www.orthodb.org/v10?query=1521at3193	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
