['HiC_scaffold_1', 118792862]
['HiC_scaffold_7', 112665059]
['HiC_scaffold_6', 99201424]
['HiC_scaffold_3', 96898007]
['HiC_scaffold_5', 89904215]
['HiC_scaffold_8_MOD Closings=0.0, Fillings=1.0', 83721862]
['HiC_scaffold_2', 79271362]
['HiC_scaffold_4', 72586500]
['HiC_scaffold_9', 66054517]
['HiC_scaffold_234', 985000]
['HiC_scaffold_261', 476715]
['HiC_scaffold_197', 410000]
['HiC_scaffold_183', 365862]
['HiC_scaffold_182', 345862]
['HiC_scaffold_25', 277902]
['HiC_scaffold_257', 275000]
['HiC_scaffold_114', 202128]
['HiC_scaffold_245', 193000]
['HiC_scaffold_218', 188706]
['HiC_scaffold_252', 186294]
['HiC_scaffold_214', 183862]
['HiC_scaffold_26', 172605]
['HiC_scaffold_147', 166696]
['HiC_scaffold_258', 165512]
['HiC_scaffold_24', 161758]
['HiC_scaffold_23', 157302]
['HiC_scaffold_199', 156276]
['HiC_scaffold_235', 156000]
['HiC_scaffold_22', 154642]
['HiC_scaffold_148', 154035]
['HiC_scaffold_220', 153862]
['HiC_scaffold_21', 153551]
['HiC_scaffold_113', 149542]
['HiC_scaffold_190', 140000]
['HiC_scaffold_149', 138626]
['HiC_scaffold_231', 133000]
['HiC_scaffold_135', 132805]
['HiC_scaffold_27', 129574]
['HiC_scaffold_150', 127734]
['HiC_scaffold_216', 127000]
['HiC_scaffold_192', 120138]
['HiC_scaffold_205', 118243]
['HiC_scaffold_151', 116865]
['HiC_scaffold_193', 116862]
['HiC_scaffold_133', 114797]
['HiC_scaffold_28', 110717]
['HiC_scaffold_115', 109831]
['HiC_scaffold_29', 109623]
['HiC_scaffold_121', 109138]
['HiC_scaffold_30', 108537]
['HiC_scaffold_31', 104561]
['HiC_scaffold_20', 104186]
['HiC_scaffold_116', 102826]
['HiC_scaffold_32', 96775]
['HiC_scaffold_117', 95026]
['HiC_scaffold_237', 91991]
['HiC_scaffold_177', 88000]
['HiC_scaffold_122', 86100]
['HiC_scaffold_33', 85928]
['HiC_scaffold_34', 85590]
['HiC_scaffold_132', 84988]
['HiC_scaffold_152', 84342]
['HiC_scaffold_35', 83834]
['HiC_scaffold_188', 83715]
['HiC_scaffold_36', 81476]
['HiC_scaffold_118', 80014]
['HiC_scaffold_233', 76000]
['HiC_scaffold_37', 74097]
['HiC_scaffold_125', 73816]
['HiC_scaffold_153', 73057]
['HiC_scaffold_249', 71248]
['HiC_scaffold_11', 70000]
['HiC_scaffold_38', 69985]
['HiC_scaffold_124', 69424]
['HiC_scaffold_154', 68889]
['HiC_scaffold_129', 68215]
['HiC_scaffold_39', 68066]
['HiC_scaffold_40', 68038]
['HiC_scaffold_256', 68000]
['HiC_scaffold_143', 67000]
['HiC_scaffold_41', 66854]
['HiC_scaffold_42', 65111]
['HiC_scaffold_19', 63383]
['HiC_scaffold_227', 63000]
['HiC_scaffold_242', 63000]
['HiC_scaffold_43', 62611]
['HiC_scaffold_155', 60626]
['HiC_scaffold_142', 60362]
['HiC_scaffold_44', 59863]
['HiC_scaffold_14', 58479]
['HiC_scaffold_120', 57695]
['HiC_scaffold_17', 57202]
['HiC_scaffold_238', 56724]
['HiC_scaffold_45', 55180]
['HiC_scaffold_46', 55143]
['HiC_scaffold_119', 54639]
['HiC_scaffold_156', 54601]
['HiC_scaffold_47', 53687]
['HiC_scaffold_140', 53246]
['HiC_scaffold_164', 53138]
['HiC_scaffold_127', 51850]
['HiC_scaffold_48', 51306]
['HiC_scaffold_49', 51123]
['HiC_scaffold_157', 50343]
['HiC_scaffold_126', 50000]
['HiC_scaffold_141', 50000]
['HiC_scaffold_50', 49196]
['HiC_scaffold_51', 49191]
['HiC_scaffold_52', 48265]
['HiC_scaffold_209', 47752]
['HiC_scaffold_158', 47630]
['HiC_scaffold_53', 47327]
['HiC_scaffold_54', 45583]
['HiC_scaffold_159', 45499]
['HiC_scaffold_55', 45480]
['HiC_scaffold_56', 45397]
['HiC_scaffold_10', 45000]
['HiC_scaffold_57', 44930]
['HiC_scaffold_160', 44905]
['HiC_scaffold_134', 44426]
['HiC_scaffold_58', 44163]
['HiC_scaffold_221', 44138]
['HiC_scaffold_59', 43925]
['HiC_scaffold_60', 43889]
['HiC_scaffold_15', 43715]
['HiC_scaffold_61', 43547]
['HiC_scaffold_62', 43064]
['HiC_scaffold_63', 42943]
['HiC_scaffold_179', 42354]
['HiC_scaffold_64', 42290]
['HiC_scaffold_65', 41551]
['HiC_scaffold_66', 41207]
['HiC_scaffold_67', 41127]
['HiC_scaffold_161', 41055]
['HiC_scaffold_123', 40570]
['HiC_scaffold_68', 39926]
['HiC_scaffold_131', 39198]
['HiC_scaffold_244', 39138]
['HiC_scaffold_69', 38923]
['HiC_scaffold_70', 38634]
['HiC_scaffold_130', 38542]
['HiC_scaffold_71', 38186]
['HiC_scaffold_144', 38000]
['HiC_scaffold_72', 37961]
['HiC_scaffold_137', 37042]
['HiC_scaffold_232', 37000]
['HiC_scaffold_73', 36976]
['HiC_scaffold_74', 36756]
['HiC_scaffold_75', 36560]
['HiC_scaffold_76', 35684]
['HiC_scaffold_77', 35601]
['HiC_scaffold_16', 35214]
['HiC_scaffold_78', 35032]
['HiC_scaffold_79', 34803]
['HiC_scaffold_80', 34656]
['HiC_scaffold_81', 34235]
['HiC_scaffold_82', 33889]
['HiC_scaffold_83', 33494]
['HiC_scaffold_84', 33068]
['HiC_scaffold_239', 33000]
['HiC_scaffold_186', 32679]
['HiC_scaffold_128', 32583]
['HiC_scaffold_85', 32508]
['HiC_scaffold_162', 32114]
['HiC_scaffold_86', 32058]
['HiC_scaffold_166', 32000]
['HiC_scaffold_87', 31615]
['HiC_scaffold_88', 31445]
['HiC_scaffold_89', 29876]
['HiC_scaffold_90', 29748]
['HiC_scaffold_18', 29736]
['HiC_scaffold_136', 29650]
['HiC_scaffold_13', 29500]
['HiC_scaffold_91', 29280]
['HiC_scaffold_92', 28993]
['HiC_scaffold_260', 28536]
['HiC_scaffold_93', 27688]
['HiC_scaffold_94', 27256]
['HiC_scaffold_95', 26916]
['HiC_scaffold_243', 26862]
['HiC_scaffold_96', 26093]
['HiC_scaffold_97', 25373]
['HiC_scaffold_165', 25138]
['HiC_scaffold_172', 24915]
['HiC_scaffold_98', 24894]
['HiC_scaffold_253', 24614]
['HiC_scaffold_99', 24204]
['HiC_scaffold_100', 23781]
['HiC_scaffold_139', 23687]
['HiC_scaffold_101', 23429]
['HiC_scaffold_102', 22939]
['HiC_scaffold_103', 22720]
['HiC_scaffold_187', 22639]
['HiC_scaffold_189', 22617]
['HiC_scaffold_204', 22506]
['HiC_scaffold_104', 22373]
['HiC_scaffold_138', 22332]
['HiC_scaffold_248', 22098]
['HiC_scaffold_105', 21820]
['HiC_scaffold_106', 21699]
['HiC_scaffold_107', 21074]
['HiC_scaffold_12', 21000]
['HiC_scaffold_240', 21000]
['HiC_scaffold_108', 20885]
['HiC_scaffold_109', 19781]
['HiC_scaffold_110', 19282]
['HiC_scaffold_169', 19000]
['HiC_scaffold_111', 18278]
['HiC_scaffold_228', 18000]
['HiC_scaffold_112', 17484]
['HiC_scaffold_146', 17216]
['HiC_scaffold_145', 17138]
['HiC_scaffold_211', 17000]
['HiC_scaffold_226', 17000]
['HiC_scaffold_255', 16757]
['HiC_scaffold_254', 16521]
['HiC_scaffold_195', 15000]
['HiC_scaffold_225', 15000]
['HiC_scaffold_184', 14524]
['HiC_scaffold_250', 14494]
['HiC_scaffold_210', 14000]
['HiC_scaffold_168', 13862]
['HiC_scaffold_176', 13021]
['HiC_scaffold_180', 13000]
['HiC_scaffold_207', 13000]
['HiC_scaffold_222', 13000]
['HiC_scaffold_208', 12877]
['HiC_scaffold_251', 12615]
['HiC_scaffold_191', 12138]
['HiC_scaffold_163', 12069]
['HiC_scaffold_194', 11000]
['HiC_scaffold_171', 10000]
['HiC_scaffold_185', 9983]
['HiC_scaffold_181', 8931]
['HiC_scaffold_196', 8724]
['HiC_scaffold_173', 8021]
['HiC_scaffold_241', 8000]
['HiC_scaffold_259', 7470]
['HiC_scaffold_246', 7000]
['HiC_scaffold_229', 6000]
['HiC_scaffold_230', 6000]
['HiC_scaffold_200', 5000]
['HiC_scaffold_212', 4000]
['HiC_scaffold_217', 3147]
['HiC_scaffold_170', 3000]
['HiC_scaffold_203', 3000]
['HiC_scaffold_224', 3000]
['HiC_scaffold_247', 2009]
['HiC_scaffold_174', 2000]
['HiC_scaffold_175', 2000]
['HiC_scaffold_213', 2000]
['HiC_scaffold_215', 2000]
['HiC_scaffold_223', 2000]
['HiC_scaffold_236', 2000]
['HiC_scaffold_167', 1000]
['HiC_scaffold_178', 1000]
['HiC_scaffold_198', 1000]
['HiC_scaffold_201', 1000]
['HiC_scaffold_202', 1000]
