['atg000104l', 52917]
['atg000117l', 46258]
['atg000067l', 45095]
['atg000166l', 44729]
['atg000052l', 44666]
['atg000010l', 44570]
['atg000057l', 43823]
['atg000026l', 43461]
['atg000132l', 43326]
['atg000042l', 43147]
['atg000099l', 43131]
['atg000056l', 43127]
['atg000046l', 43110]
['atg000078l', 42094]
['atg000028l', 42083]
['atg000053l', 41820]
['atg000048l', 41533]
['atg000018l', 41502]
['atg000025l', 41323]
['atg000027l', 41310]
['atg000142l', 41198]
['atg000108l', 41157]
['atg000022l', 40901]
['atg000126l', 40810]
['atg000134l', 40777]
['atg000092l', 40674]
['atg000084l', 40590]
['atg000150l', 40540]
['atg000149l', 40525]
['atg000034l', 40410]
['atg000196l', 40273]
['atg000059l', 39971]
['atg000093l', 39899]
['atg000109l', 39366]
['atg000148l', 39029]
['atg000141l', 38716]
['atg000103l', 38613]
['atg000097l', 38510]
['atg000168l', 38478]
['atg000037l', 38280]
['atg000050l', 38174]
['atg000012l', 38083]
['atg000089l', 37973]
['atg000086l', 37830]
['atg000082l', 37735]
['atg000114l', 37713]
['atg000185l', 37639]
['atg000110l', 37625]
['atg000087l', 37584]
['atg000194l', 37576]
['atg000153l', 37487]
['atg000080l', 37345]
['atg000006l', 37327]
['atg000005l', 37187]
['atg000013l', 37185]
['atg000023l', 37042]
['atg000161l', 36947]
['atg000079l', 36927]
['atg000035l', 36758]
['atg000047l', 36545]
['atg000184l', 36503]
['atg000071l', 36229]
['atg000130l', 36052]
['atg000163l', 36028]
['atg000112l', 35970]
['atg000128l', 35938]
['atg000063l', 35856]
['atg000016l', 35768]
['atg000169l', 35734]
['atg000064l', 35570]
['atg000031l', 35511]
['atg000073l', 35494]
['atg000077l', 35468]
['atg000009l', 35452]
['atg000131l', 35407]
['atg000039l', 35264]
['atg000061l', 35196]
['atg000095l', 34920]
['atg000113l', 34788]
['atg000074l', 34780]
['atg000032l', 34426]
['atg000090l', 34188]
['atg000152l', 33981]
['atg000129l', 33952]
['atg000111l', 33854]
['atg000020l', 33758]
['atg000151l', 33755]
['atg000054l', 33716]
['atg000100l', 33689]
['atg000105l', 33651]
['atg000044l', 33582]
['atg000017l', 33502]
['atg000139l', 33154]
['atg000116l', 33125]
['atg000091l', 33122]
['atg000202l', 32954]
['atg000167l', 32799]
['atg000147l', 32694]
['atg000040l', 32552]
['atg000122l', 32344]
['atg000036l', 32301]
['atg000127l', 32258]
['atg000136l', 32187]
['atg000001l', 32137]
['atg000011l', 32105]
['atg000118l', 32090]
['atg000076l', 32066]
['atg000159l', 31954]
['atg000119l', 31874]
['atg000154l', 31855]
['atg000144l', 31757]
['atg000193l', 31444]
['atg000188l', 31255]
['atg000070l', 30814]
['atg000066l', 30806]
['atg000121l', 30745]
['atg000062l', 30624]
['atg000189l', 30562]
['atg000029l', 30169]
['atg000190l', 29988]
['atg000021l', 29854]
['atg000072l', 29801]
['atg000123l', 29394]
['atg000143l', 28988]
['atg000158l', 28802]
['atg000101l', 28671]
['atg000106l', 28598]
['atg000008l', 28197]
['atg000024l', 28084]
['atg000156l', 27984]
['atg000181l', 27904]
['atg000178l', 27768]
['atg000060l', 27698]
['atg000085l', 27671]
['atg000038l', 27619]
['atg000098l', 27551]
['atg000065l', 27550]
['atg000182l', 27483]
['atg000083l', 27469]
['atg000174l', 27464]
['atg000125l', 27440]
['atg000096l', 27309]
['atg000015l', 27270]
['atg000058l', 27235]
['atg000137l', 27134]
['atg000068l', 26983]
['atg000133l', 26912]
['atg000186l', 26839]
['atg000002l', 26778]
['atg000140l', 26715]
['atg000177l', 26687]
['atg000049l', 26417]
['atg000135l', 26246]
['atg000014l', 26238]
['atg000175l', 26220]
['atg000173l', 25986]
['atg000160l', 25960]
['atg000007l', 25802]
['atg000088l', 25581]
['atg000187l', 25527]
['atg000172l', 25340]
['atg000138l', 25177]
['atg000045l', 25167]
['atg000030l', 25155]
['atg000003l', 24826]
['atg000162l', 24743]
['atg000124l', 24712]
['atg000183l', 24189]
['atg000146l', 23793]
['atg000176l', 23768]
['atg000033l', 23348]
['atg000200l', 22990]
['atg000145l', 22869]
['atg000179l', 22654]
['atg000201l', 22222]
['atg000208l', 21531]
['atg000199l', 21307]
['atg000051l', 21280]
['atg000165l', 21209]
['atg000115l', 20990]
['atg000107l', 20731]
['atg000019l', 20546]
['atg000170l', 20402]
['atg000043l', 20344]
['atg000075l', 20018]
['atg000102l', 19775]
['atg000094l', 19716]
['atg000155l', 19354]
['atg000171l', 19309]
['atg000157l', 19169]
['atg000191l', 18697]
['atg000120l', 18555]
['atg000164l', 18253]
['atg000195l', 17901]
['atg000069l', 17672]
['atg000206l', 17321]
['atg000180l', 16573]
['atg000081l', 16527]
['atg000041l', 16383]
['atg000055l', 15307]
['atg000004l', 14769]
['atg000192l', 14439]
['atg000198l', 14373]
['atg000197l', 14371]
['atg000207l', 13595]
['atg000205l', 11479]
['atg000204l', 8361]
['atg000203l', 7588]
