['h2tg000001l', 110676008]
['h2tg000003l', 99100757]
['h2tg000007l', 80652511]
['h2tg000009l', 78563391]
['h2tg000004l', 74485925]
['h2tg000002l', 73271621]
['h2tg000005l', 61891820]
['h2tg000011l', 53160582]
['h2tg000006l', 52467448]
['h2tg000014l', 35570019]
['h2tg000008l', 32128002]
['h2tg000012l', 22090938]
['h2tg000013l', 17338921]
['h2tg000010l', 15003809]
['h2tg000016l', 4697047]
['h2tg000019l', 1822530]
['h2tg000015l', 561356]
['h2tg000028c', 476715]
['h2tg000064l', 378695]
['h2tg000056l', 254580]
['h2tg000038l', 254132]
['h2tg000071l', 244111]
['h2tg000051l', 231623]
['h2tg000049l', 223803]
['h2tg000039l', 223295]
['h2tg000074l', 198990]
['h2tg000050l', 178127]
['h2tg000043l', 177051]
['h2tg000076l', 175268]
['h2tg000070l', 156553]
['h2tg000105l', 144958]
['h2tg000054l', 141093]
['h2tg000027l', 135338]
['h2tg000084l', 131962]
['h2tg000059l', 127734]
['h2tg000058l', 127625]
['h2tg000048l', 127098]
['h2tg000065l', 122966]
['h2tg000018l', 122839]
['h2tg000092l', 122475]
['h2tg000040l', 120721]
['h2tg000045l', 120589]
['h2tg000093l', 120236]
['h2tg000062l', 119127]
['h2tg000086l', 118295]
['h2tg000046c', 116865]
['h2tg000021l', 116736]
['h2tg000090l', 107619]
['h2tg000094l', 106238]
['h2tg000072l', 99853]
['h2tg000099l', 96446]
['h2tg000113l', 90921]
['h2tg000022l', 90585]
['h2tg000095l', 89780]
['h2tg000124l', 88271]
['h2tg000032l', 87635]
['h2tg000035l', 85079]
['h2tg000055l', 83374]
['h2tg000081l', 82984]
['h2tg000112c', 82716]
['h2tg000041l', 80323]
['h2tg000057l', 77357]
['h2tg000060l', 72333]
['h2tg000131l', 69801]
['h2tg000128l', 68889]
['h2tg000138l', 68215]
['h2tg000108l', 68038]
['h2tg000053l', 67292]
['h2tg000073l', 67034]
['h2tg000096l', 65111]
['h2tg000033l', 64955]
['h2tg000152l', 64877]
['h2tg000047l', 62465]
['h2tg000132l', 61326]
['h2tg000063l', 60626]
['h2tg000107l', 60603]
['h2tg000061l', 60345]
['h2tg000031l', 58629]
['h2tg000080l', 58022]
['h2tg000052l', 57639]
['h2tg000114l', 57549]
['h2tg000023l', 57292]
['h2tg000142l', 56362]
['h2tg000037l', 56350]
['h2tg000088l', 55647]
['h2tg000110l', 55530]
['h2tg000044l', 54601]
['h2tg000089l', 53687]
['h2tg000066l', 53549]
['h2tg000030l', 53250]
['h2tg000106l', 53189]
['h2tg000125l', 52871]
['h2tg000042l', 52776]
['h2tg000130l', 52597]
['h2tg000137l', 52456]
['h2tg000087l', 52407]
['h2tg000139l', 51850]
['h2tg000121l', 51650]
['h2tg000146l', 51641]
['h2tg000025l', 50933]
['h2tg000024l', 49999]
['h2tg000104l', 49743]
['h2tg000117l', 49319]
['h2tg000140l', 49196]
['h2tg000098l', 48989]
['h2tg000148l', 48969]
['h2tg000141l', 48609]
['h2tg000097l', 48233]
['h2tg000150l', 48070]
['h2tg000103l', 48051]
['h2tg000020l', 47888]
['h2tg000078l', 47327]
['h2tg000115l', 47167]
['h2tg000085l', 47140]
['h2tg000029l', 46318]
['h2tg000101l', 45583]
['h2tg000100l', 45548]
['h2tg000091l', 45397]
['h2tg000109l', 45367]
['h2tg000120l', 44780]
['h2tg000026l', 44674]
['h2tg000143l', 44670]
['h2tg000116l', 43925]
['h2tg000133l', 43889]
['h2tg000017l', 43064]
['h2tg000118l', 42290]
['h2tg000082l', 41843]
['h2tg000036l', 41397]
['h2tg000075l', 41127]
['h2tg000102l', 40822]
['h2tg000079l', 40536]
['h2tg000127l', 38570]
['h2tg000153l', 38542]
['h2tg000123l', 38293]
['h2tg000069l', 35840]
['h2tg000126l', 35534]
['h2tg000122l', 32155]
['h2tg000134l', 32114]
['h2tg000149l', 32058]
['h2tg000129l', 31918]
['h2tg000067l', 31054]
['h2tg000135l', 30646]
['h2tg000158l', 30514]
['h2tg000151l', 29099]
['h2tg000147c', 27573]
['h2tg000119l', 27469]
['h2tg000156l', 27398]
['h2tg000154l', 26768]
['h2tg000144l', 26652]
['h2tg000077l', 26093]
['h2tg000136l', 26038]
['h2tg000155l', 25457]
['h2tg000034l', 24894]
['h2tg000145l', 22152]
['h2tg000111l', 21699]
['h2tg000159l', 18278]
['h2tg000068l', 17520]
['h2tg000083l', 14253]
['h2tg000157l', 10257]
