# BUSCO version is: 5.4.3 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2020-09-10, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at3193	Complete	h2tg000012l	1388767	1423688	-	4680.5	3808	https://www.orthodb.org/v10?query=2at3193	Midasin
5at3193	Complete	h2tg000010l	8723362	8746742	+	5982.3	3884	https://www.orthodb.org/v10?query=5at3193	sacsin
23at3193	Complete	h2tg000012l	21112159	21135728	-	6369.8	3849	https://www.orthodb.org/v10?query=23at3193	auxin transport protein BIG
79at3193	Complete	h2tg000008l	19155472	19171465	-	4068.4	2712	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
241at3193	Complete	h2tg000004l	3057756	3087376	+	3423.5	2069	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
255at3193	Complete	h2tg000004l	69030969	69060220	-	3890.4	2082	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR
364at3193	Complete	h2tg000003l	12425260	12447311	+	2037.1	1651	https://www.orthodb.org/v10?query=364at3193	WD40-repeat-containing domain
438at3193	Complete	h2tg000005l	57171944	57187427	+	3787.5	1986	https://www.orthodb.org/v10?query=438at3193	dnaJ homolog subfamily C GRV2
453at3193	Complete	h2tg000012l	15964094	15994150	+	2411.2	1625	https://www.orthodb.org/v10?query=453at3193	HEAT repeat-containing protein 5B isoform X1
469at3193	Complete	h2tg000001l	97353229	97374172	-	2735.9	1814	https://www.orthodb.org/v10?query=469at3193	Zinc finger FYVE domain-containing protein 26 isoform 2
727at3193	Complete	h2tg000007l	75413414	75435544	+	2789.8	1455	https://www.orthodb.org/v10?query=727at3193	endoribonuclease Dicer homolog 1
827at3193	Complete	h2tg000019l	1761922	1774689	+	1802.0	1577	https://www.orthodb.org/v10?query=827at3193	Protein virilizer
840at3193	Complete	h2tg000003l	79891840	79906823	-	2855.7	1658	https://www.orthodb.org/v10?query=840at3193	DNA polymerase A
938at3193	Complete	h2tg000008l	12870212	12881517	+	1950.1	1315	https://www.orthodb.org/v10?query=938at3193	Tetratricopeptide-like helical
1073at3193	Complete	h2tg000001l	107485902	107501220	+	1842.2	1481	https://www.orthodb.org/v10?query=1073at3193	Zinc finger, PHD-type
1171at3193	Complete	h2tg000005l	58043494	58061603	+	2333.1	1539	https://www.orthodb.org/v10?query=1171at3193	nuclear pore complex protein NUP205
1259at3193	Missing
1332at3193	Complete	h2tg000008l	22457884	22474474	+	1954.9	1229	https://www.orthodb.org/v10?query=1332at3193	UDP-glucose:glycoprotein glucosyltransferase
1388at3193	Complete	h2tg000014l	1178294	1193061	+	1770.0	1411	https://www.orthodb.org/v10?query=1388at3193	E3 ubiquitin-protein ligase listerin
1440at3193	Complete	h2tg000003l	11215784	11226891	+	2725.5	1341	https://www.orthodb.org/v10?query=1440at3193	intron-binding protein aquarius
1521at3193	Complete	h2tg000003l	7524996	7533921	-	1525.0	1046	https://www.orthodb.org/v10?query=1521at3193	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
1578at3193	Complete	h2tg000004l	61893919	61924893	-	2044.7	1327	https://www.orthodb.org/v10?query=1578at3193	protein MON2 homolog isoform X1
1589at3193	Complete	h2tg000003l	89699860	89717979	+	2077.0	1409	https://www.orthodb.org/v10?query=1589at3193	protein SHOOT GRAVITROPISM 6 isoform X1
1664at3193	Complete	h2tg000009l	50597766	50618953	-	2671.0	1556	https://www.orthodb.org/v10?query=1664at3193	Embryo defective 2410
1816at3193	Complete	h2tg000001l	79825277	79832744	-	2366.4	1609	https://www.orthodb.org/v10?query=1816at3193	thyroid adenoma-associated protein homolog
1822at3193	Complete	h2tg000012l	20210738	20217591	+	1154.7	925	https://www.orthodb.org/v10?query=1822at3193	histone-lysine N-methyltransferase SUVR5
1914at3193	Complete	h2tg000008l	16102807	16113504	+	1423.8	889	https://www.orthodb.org/v10?query=1914at3193	ATPase, AAA-type, conserved site
1916at3193	Duplicated	h2tg000002l	16411913	16420730	+	1803.0	1124	https://www.orthodb.org/v10?query=1916at3193	DNA polymerase
1916at3193	Duplicated	h2tg000052l	6389	44465	-	1803.0	1124	https://www.orthodb.org/v10?query=1916at3193	DNA polymerase
1998at3193	Complete	h2tg000008l	24386982	24405243	-	1378.1	1135	https://www.orthodb.org/v10?query=1998at3193	nuclear pore complex protein NUP160
2028at3193	Complete	h2tg000002l	22969779	22986651	+	1840.5	1086	https://www.orthodb.org/v10?query=2028at3193	protein NAP1
2050at3193	Complete	h2tg000008l	19434815	19442824	+	1555.7	1223	https://www.orthodb.org/v10?query=2050at3193	autophagy-related protein 2
2203at3193	Complete	h2tg000001l	21346148	21356171	-	1949.5	1275	https://www.orthodb.org/v10?query=2203at3193	WD40-repeat-containing domain
2325at3193	Complete	h2tg000005l	59194180	59211531	+	1649.5	1190	https://www.orthodb.org/v10?query=2325at3193	Dicer dimerisation domain
2329at3193	Complete	h2tg000009l	72471504	72475996	-	2459.9	1195	https://www.orthodb.org/v10?query=2329at3193	magnesium-chelatase subunit ChlH, chloroplastic
2653at3193	Complete	h2tg000006l	1712215	1721534	+	2080.2	1208	https://www.orthodb.org/v10?query=2653at3193	WD40-repeat-containing domain
2661at3193	Complete	h2tg000009l	2689169	2708302	-	1895.1	1192	https://www.orthodb.org/v10?query=2661at3193	ABC transporter C family member 13 isoform X1
2694at3193	Complete	h2tg000013l	4821146	4835030	-	1977.2	1104	https://www.orthodb.org/v10?query=2694at3193	protein PIR
2770at3193	Complete	h2tg000008l	17593555	17603625	-	1494.7	1042	https://www.orthodb.org/v10?query=2770at3193	nuclear pore complex protein NUP133
2834at3193	Complete	h2tg000012l	229846	254658	-	2169.1	1526	https://www.orthodb.org/v10?query=2834at3193	Putative P-loop containing nucleoside triphosphate hydrolase
