['HiC_scaffold_3', 112033431]
['HiC_scaffold_10', 110446200]
['HiC_scaffold_7', 98814788]
['HiC_scaffold_6', 96379130]
['HiC_scaffold_8', 88408315]
['HiC_scaffold_2', 83731630]
['HiC_scaffold_5', 78113130]
['HiC_scaffold_9', 72348815]
['HiC_scaffold_1', 65833185]
['HiC_scaffold_172', 815000]
['HiC_scaffold_225', 640000]
['HiC_scaffold_261', 445352]
['HiC_scaffold_88', 378695]
['HiC_scaffold_226', 313000]
['HiC_scaffold_163', 288815]
['HiC_scaffold_254', 276000]
['HiC_scaffold_190', 263000]
['HiC_scaffold_89', 244111]
['HiC_scaffold_160', 233020]
['HiC_scaffold_217', 227000]
['HiC_scaffold_90', 223803]
['HiC_scaffold_91', 223295]
['HiC_scaffold_250', 223000]
['HiC_scaffold_92', 198990]
['HiC_scaffold_228', 196370]
['HiC_scaffold_234', 188196]
['HiC_scaffold_247', 186274]
['HiC_scaffold_84', 178127]
['HiC_scaffold_93', 177051]
['HiC_scaffold_94', 175268]
['HiC_scaffold_187', 171815]
['HiC_scaffold_233', 157000]
['HiC_scaffold_95', 156553]
['HiC_scaffold_191', 156000]
['HiC_scaffold_253', 152904]
['HiC_scaffold_83', 144958]
['HiC_scaffold_193', 142363]
['HiC_scaffold_96', 141093]
['HiC_scaffold_97', 135338]
['HiC_scaffold_171', 133000]
['HiC_scaffold_98', 127734]
['HiC_scaffold_29', 127625]
['HiC_scaffold_24', 127500]
['HiC_scaffold_30', 127098]
['HiC_scaffold_81', 122966]
['HiC_scaffold_31', 122839]
['HiC_scaffold_99', 122475]
['HiC_scaffold_100', 120721]
['HiC_scaffold_101', 120589]
['HiC_scaffold_102', 120236]
['HiC_scaffold_103', 119127]
['HiC_scaffold_104', 118295]
['HiC_scaffold_202', 118246]
['HiC_scaffold_223', 118000]
['HiC_scaffold_14', 116865]
['HiC_scaffold_105', 116736]
['HiC_scaffold_236', 109000]
['HiC_scaffold_268', 107619]
['HiC_scaffold_32', 106238]
['HiC_scaffold_211', 100000]
['HiC_scaffold_82', 99853]
['HiC_scaffold_106', 96446]
['HiC_scaffold_255', 96000]
['HiC_scaffold_182', 92000]
['HiC_scaffold_107', 90921]
['HiC_scaffold_270', 89780]
['HiC_scaffold_200', 89000]
['HiC_scaffold_222', 88815]
['HiC_scaffold_33', 88271]
['HiC_scaffold_152', 88206]
['HiC_scaffold_162', 87852]
['HiC_scaffold_80', 87635]
['HiC_scaffold_79', 84341]
['HiC_scaffold_186', 84000]
['HiC_scaffold_272', 83374]
['HiC_scaffold_108', 82984]
['HiC_scaffold_78', 82716]
['HiC_scaffold_16', 80323]
['HiC_scaffold_11', 77248]
['HiC_scaffold_227', 77000]
['HiC_scaffold_229', 74000]
['HiC_scaffold_34', 72333]
['HiC_scaffold_77', 69801]
['HiC_scaffold_76', 68889]
['HiC_scaffold_17', 68215]
['HiC_scaffold_109', 68038]
['HiC_scaffold_75', 67292]
['HiC_scaffold_35', 67034]
['HiC_scaffold_74', 65111]
['HiC_scaffold_36', 64955]
['HiC_scaffold_110', 64877]
['HiC_scaffold_212', 64815]
['HiC_scaffold_166', 64000]
['HiC_scaffold_111', 62465]
['HiC_scaffold_140', 61863]
['HiC_scaffold_112', 61326]
['HiC_scaffold_113', 60626]
['HiC_scaffold_114', 60603]
['HiC_scaffold_37', 60345]
['HiC_scaffold_148', 59000]
['HiC_scaffold_38', 58629]
['HiC_scaffold_13', 57292]
['HiC_scaffold_147', 57000]
['HiC_scaffold_39', 56362]
['HiC_scaffold_279', 56350]
['HiC_scaffold_115', 55647]
['HiC_scaffold_21', 55530]
['HiC_scaffold_221', 55185]
['HiC_scaffold_22', 54685]
['HiC_scaffold_40', 54601]
['HiC_scaffold_41', 53687]
['HiC_scaffold_280', 53549]
['HiC_scaffold_116', 53250]
['HiC_scaffold_20', 53189]
['HiC_scaffold_285', 52597]
['HiC_scaffold_85', 52456]
['HiC_scaffold_117', 51850]
['HiC_scaffold_19', 51650]
['HiC_scaffold_42', 51641]
['HiC_scaffold_288', 50933]
['HiC_scaffold_170', 50000]
['HiC_scaffold_15', 49999]
['HiC_scaffold_118', 49743]
['HiC_scaffold_119', 49319]
['HiC_scaffold_43', 49196]
['HiC_scaffold_44', 48989]
['HiC_scaffold_120', 48969]
['HiC_scaffold_121', 48609]
['HiC_scaffold_289', 48233]
['HiC_scaffold_231', 48185]
