['ptg000019l', 107867]
['ptg000017l', 76529]
['ptg000052l', 72085]
['ptg000069l', 67094]
['ptg000113l', 66759]
['ptg000137l', 66516]
['ptg000038l', 63315]
['ptg000055l', 62186]
['ptg000018l', 60956]
['ptg000039l', 58296]
['ptg000092l', 58075]
['ptg000140l', 57175]
['ptg000098l', 56898]
['ptg000014l', 55720]
['ptg000078l', 51796]
['ptg000085l', 51761]
['ptg000042l', 50140]
['ptg000012l', 48905]
['ptg000072l', 48738]
['ptg000026l', 48376]
['ptg000083l', 48349]
['ptg000086l', 47818]
['ptg000123l', 47736]
['ptg000037l', 47626]
['ptg000120l', 47456]
['ptg000162l', 47409]
['ptg000048l', 47109]
['ptg000132l', 47091]
['ptg000106l', 47011]
['ptg000160l', 46631]
['ptg000002l', 46447]
['ptg000033l', 46198]
['ptg000025l', 46112]
['ptg000096l', 46089]
['ptg000130l', 46075]
['ptg000024l', 46019]
['ptg000104l', 45953]
['ptg000051l', 45570]
['ptg000036l', 45255]
['ptg000150l', 44910]
['ptg000105l', 44884]
['ptg000003l', 44845]
['ptg000035l', 44505]
['ptg000080l', 44337]
['ptg000015l', 44167]
['ptg000059l', 44068]
['ptg000028l', 44005]
['ptg000128l', 43996]
['ptg000030l', 43774]
['ptg000121l', 43370]
['ptg000145l', 43369]
['ptg000068l', 43218]
['ptg000004l', 43166]
['ptg000110l', 42950]
['ptg000047l', 42919]
['ptg000117l', 42821]
['ptg000103l', 42733]
['ptg000154l', 42727]
['ptg000159l', 42685]
['ptg000091l', 42676]
['ptg000011l', 42605]
['ptg000032l', 42553]
['ptg000005l', 42456]
['ptg000013l', 42419]
['ptg000073l', 42279]
['ptg000079l', 42107]
['ptg000118l', 42044]
['ptg000179l', 41957]
['ptg000134l', 41658]
['ptg000044l', 41655]
['ptg000167l', 41563]
['ptg000090l', 41395]
['ptg000153l', 41338]
['ptg000046l', 41337]
['ptg000156l', 41305]
['ptg000148l', 41297]
['ptg000100l', 41286]
['ptg000119l', 41245]
['ptg000111l', 41183]
['ptg000168l', 41176]
['ptg000057l', 41099]
['ptg000040l', 40948]
['ptg000122l', 40872]
['ptg000158l', 40861]
['ptg000097l', 40758]
['ptg000031l', 40639]
['ptg000034l', 40617]
['ptg000063l', 40480]
['ptg000067l', 40428]
['ptg000027l', 40384]
['ptg000131l', 40343]
['ptg000088l', 40058]
['ptg000062l', 39900]
['ptg000138l', 39825]
['ptg000114l', 39821]
['ptg000147l', 39809]
['ptg000087l', 39745]
['ptg000050l', 39738]
['ptg000142l', 39719]
['ptg000066l', 39679]
['ptg000041l', 39563]
['ptg000081l', 39525]
['ptg000135l', 39498]
['ptg000071l', 39497]
['ptg000075l', 39496]
['ptg000060l', 39405]
['ptg000139l', 39371]
['ptg000070l', 39360]
['ptg000155l', 39222]
['ptg000074l', 39207]
['ptg000141l', 39047]
['ptg000043l', 38990]
['ptg000001l', 38980]
['ptg000170l', 38908]
['ptg000125l', 38793]
['ptg000077l', 38784]
['ptg000176l', 38621]
['ptg000149l', 38597]
['ptg000101l', 38575]
['ptg000020l', 38451]
['ptg000008l', 38448]
['ptg000023l', 38384]
['ptg000161l', 38329]
['ptg000151l', 38176]
['ptg000172l', 38165]
['ptg000144l', 38057]
['ptg000099l', 38049]
['ptg000045l', 37974]
['ptg000022l', 37829]
['ptg000127l', 37663]
['ptg000174l', 37415]
['ptg000109l', 37404]
['ptg000181l', 37365]
['ptg000112l', 37105]
['ptg000164l', 37072]
['ptg000007l', 37069]
['ptg000169l', 37004]
['ptg000021l', 36968]
['ptg000133l', 36893]
['ptg000146l', 36787]
['ptg000180l', 36783]
['ptg000143l', 36717]
['ptg000016l', 36658]
['ptg000165l', 36554]
['ptg000126l', 36459]
['ptg000093l', 36171]
['ptg000136l', 36160]
['ptg000129l', 36133]
['ptg000029l', 36073]
['ptg000056l', 35841]
['ptg000049l', 35754]
['ptg000095l', 35724]
['ptg000108l', 35604]
['ptg000061l', 35592]
['ptg000054l', 35555]
['ptg000166l', 35485]
['ptg000076l', 35218]
['ptg000009l', 34936]
['ptg000107l', 34716]
['ptg000115l', 34567]
['ptg000163l', 34529]
['ptg000094l', 34154]
['ptg000065l', 34132]
['ptg000006l', 34104]
['ptg000053l', 33692]
['ptg000175l', 33660]
['ptg000152l', 33541]
['ptg000058l', 33404]
['ptg000116l', 32904]
['ptg000124l', 32833]
['ptg000173l', 31724]
['ptg000102l', 31194]
['ptg000082l', 30794]
['ptg000010l', 30352]
['ptg000089l', 30084]
['ptg000064l', 29898]
['ptg000171l', 29649]
['ptg000157l', 29590]
['ptg000178l', 29098]
['ptg000084l', 26159]
['ptg000182l', 13709]
['ptg000183l', 13504]
['ptg000177l', 8459]
