# BUSCO version is: 5.4.3 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2020-09-10, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at3193	Complete	h1tg000012l	1388767	1423688	-	4680.5	3808	https://www.orthodb.org/v10?query=2at3193	Midasin
5at3193	Complete	h1tg000010l	8753899	8777279	+	5982.3	3884	https://www.orthodb.org/v10?query=5at3193	sacsin
23at3193	Complete	h1tg000012l	21215572	21239141	-	6369.8	3849	https://www.orthodb.org/v10?query=23at3193	auxin transport protein BIG
79at3193	Complete	h1tg000008l	19184885	19200878	-	4068.4	2712	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
241at3193	Complete	h1tg000004l	3057756	3087376	+	3423.5	2069	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
255at3193	Complete	h1tg000004l	69419113	69448364	-	3890.4	2082	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR
364at3193	Complete	h1tg000003l	12432974	12455025	+	2037.1	1651	https://www.orthodb.org/v10?query=364at3193	WD40-repeat-containing domain
438at3193	Complete	h1tg000006l	57330482	57345965	+	3787.5	1986	https://www.orthodb.org/v10?query=438at3193	dnaJ homolog subfamily C GRV2
453at3193	Complete	h1tg000012l	16012429	16042485	+	2411.2	1625	https://www.orthodb.org/v10?query=453at3193	HEAT repeat-containing protein 5B isoform X1
469at3193	Complete	h1tg000001l	97748509	97769452	-	2735.9	1814	https://www.orthodb.org/v10?query=469at3193	Zinc finger FYVE domain-containing protein 26 isoform 2
727at3193	Complete	h1tg000007l	75615839	75637969	+	2789.8	1455	https://www.orthodb.org/v10?query=727at3193	endoribonuclease Dicer homolog 1
827at3193	Complete	h1tg000008l	23915398	23928165	-	1802.0	1577	https://www.orthodb.org/v10?query=827at3193	Protein virilizer
840at3193	Complete	h1tg000003l	80226890	80241873	-	2855.7	1658	https://www.orthodb.org/v10?query=840at3193	DNA polymerase A
938at3193	Complete	h1tg000008l	12882407	12893712	+	1950.1	1315	https://www.orthodb.org/v10?query=938at3193	Tetratricopeptide-like helical
1073at3193	Complete	h1tg000001l	107924747	107940065	+	1842.2	1481	https://www.orthodb.org/v10?query=1073at3193	Zinc finger, PHD-type
1171at3193	Complete	h1tg000006l	58208440	58226549	+	2333.1	1539	https://www.orthodb.org/v10?query=1171at3193	nuclear pore complex protein NUP205
1259at3193	Missing
1332at3193	Complete	h1tg000008l	22494601	22511191	+	1954.9	1229	https://www.orthodb.org/v10?query=1332at3193	UDP-glucose:glycoprotein glucosyltransferase
1388at3193	Complete	h1tg000015l	1178295	1193062	+	1770.0	1411	https://www.orthodb.org/v10?query=1388at3193	E3 ubiquitin-protein ligase listerin
1440at3193	Complete	h1tg000003l	11223498	11234605	+	2725.5	1341	https://www.orthodb.org/v10?query=1440at3193	intron-binding protein aquarius
1521at3193	Complete	h1tg000003l	7532710	7541635	-	1525.0	1046	https://www.orthodb.org/v10?query=1521at3193	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
1578at3193	Complete	h1tg000004l	62255858	62286832	-	2044.7	1327	https://www.orthodb.org/v10?query=1578at3193	protein MON2 homolog isoform X1
1589at3193	Complete	h1tg000003l	90057321	90075440	+	2077.0	1409	https://www.orthodb.org/v10?query=1589at3193	protein SHOOT GRAVITROPISM 6 isoform X1
1664at3193	Complete	h1tg000009l	50745308	50766495	-	2671.0	1556	https://www.orthodb.org/v10?query=1664at3193	Embryo defective 2410
1816at3193	Complete	h1tg000001l	80127774	80135241	-	2366.4	1609	https://www.orthodb.org/v10?query=1816at3193	thyroid adenoma-associated protein homolog
1822at3193	Complete	h1tg000012l	20314151	20321004	+	1154.7	925	https://www.orthodb.org/v10?query=1822at3193	histone-lysine N-methyltransferase SUVR5
1914at3193	Complete	h1tg000008l	16125483	16136180	+	1423.8	889	https://www.orthodb.org/v10?query=1914at3193	ATPase, AAA-type, conserved site
1916at3193	Complete	h1tg000002l	16426775	16464851	+	1803.0	1124	https://www.orthodb.org/v10?query=1916at3193	DNA polymerase
1998at3193	Complete	h1tg000008l	26212057	26230318	-	1378.1	1135	https://www.orthodb.org/v10?query=1998at3193	nuclear pore complex protein NUP160
2028at3193	Complete	h1tg000002l	23026894	23043766	+	1840.5	1086	https://www.orthodb.org/v10?query=2028at3193	protein NAP1
2050at3193	Complete	h1tg000008l	19464228	19472237	+	1555.7	1223	https://www.orthodb.org/v10?query=2050at3193	autophagy-related protein 2
2203at3193	Complete	h1tg000001l	21365975	21375998	-	1949.5	1275	https://www.orthodb.org/v10?query=2203at3193	WD40-repeat-containing domain
2325at3193	Complete	h1tg000006l	59359126	59376477	+	1649.5	1190	https://www.orthodb.org/v10?query=2325at3193	Dicer dimerisation domain
2329at3193	Complete	h1tg000009l	72647082	72651574	-	2459.9	1195	https://www.orthodb.org/v10?query=2329at3193	magnesium-chelatase subunit ChlH, chloroplastic
2653at3193	Complete	h1tg000005l	50884131	50893450	-	2080.2	1208	https://www.orthodb.org/v10?query=2653at3193	WD40-repeat-containing domain
2661at3193	Complete	h1tg000009l	2689169	2708302	-	1895.1	1192	https://www.orthodb.org/v10?query=2661at3193	ABC transporter C family member 13 isoform X1
2694at3193	Complete	h1tg000013l	4864077	4877961	-	1977.2	1104	https://www.orthodb.org/v10?query=2694at3193	protein PIR
2770at3193	Complete	h1tg000008l	17616231	17626301	-	1494.7	1042	https://www.orthodb.org/v10?query=2770at3193	nuclear pore complex protein NUP133
2834at3193	Complete	h1tg000012l	229846	254658	-	2169.1	1526	https://www.orthodb.org/v10?query=2834at3193	Putative P-loop containing nucleoside triphosphate hydrolase
2844at3193	Complete	h1tg000013l	1968602	1984174	+	2039.3	1170	https://www.orthodb.org/v10?query=2844at3193	cleavage and polyadenylation specificity factor subunit 1
2884at3193	Complete	h1tg000006l	45583255	45597147	-	1289.4	888	https://www.orthodb.org/v10?query=2884at3193	protein TONSOKU isoform X1
2921at3193	Complete	h1tg000004l	6729169	6734168	+	1920.8	1197	https://www.orthodb.org/v10?query=2921at3193	pentatricopeptide repeat-containing protein At3g18110, chloroplastic
2926at3193	Duplicated	h1tg000008l	15671752	15681006	-	1834.5	1028	https://www.orthodb.org/v10?query=2926at3193	trafficking protein particle complex II-specific subunit 130 homolog
2926at3193	Duplicated	h1tg000011l	46097162	46107481	-	1607.0	1032	https://www.orthodb.org/v10?query=2926at3193	trafficking protein particle complex II-specific subunit 130 homolog
3052at3193	Complete	h1tg000002l	37446293	37464499	+	1413.0	948	https://www.orthodb.org/v10?query=3052at3193	protein CHROMATIN REMODELING 20 isoform X1
3082at3193	Complete	h1tg000009l	36890001	36899996	-	1293.0	935	https://www.orthodb.org/v10?query=3082at3193	Tetratricopeptide-like helical
3272at3193	Complete	h1tg000012l	16450752	16459291	-	1802.9	1088	https://www.orthodb.org/v10?query=3272at3193	DNA ligase
3288at3193	Complete	h1tg000003l	16676372	16689942	-	1267.5	849	https://www.orthodb.org/v10?query=3288at3193	DNA replication ATP-dependent helicase/nuclease DNA2 isoform X1
3322at3193	Complete	h1tg000001l	79487531	79506333	+	1775.5	1245	https://www.orthodb.org/v10?query=3322at3193	Sister chromatid cohesion protein
3441at3193	Complete	h1tg000003l	80187483	80191265	+	2236.9	1112	https://www.orthodb.org/v10?query=3441at3193	5-oxoprolinase
3493at3193	Complete	h1tg000002l	24466834	24484720	+	2225.6	1532	https://www.orthodb.org/v10?query=3493at3193	rRNA biogenesis protein RRP5
3595at3193	Complete	h1tg000008l	14226309	14230976	+	1590.9	1076	https://www.orthodb.org/v10?query=3595at3193	protein TORNADO 1
3662at3193	Complete	h1tg000010l	14153139	14159706	-	1488.3	1034	https://www.orthodb.org/v10?query=3662at3193	Elongator complex protein 1
3704at3193	Complete	h1tg000013l	6127363	6146692	+	1816.6	1067	https://www.orthodb.org/v10?query=3704at3193	Four-carbon acid sugar kinase, N-terminal domain
3755at3193	Complete	h1tg000015l	29878290	29888345	-	1500.4	944	https://www.orthodb.org/v10?query=3755at3193	DNA-directed RNA polymerase I subunit 2
3935at3193	Complete	h1tg000004l	74449166	74458011	-	1902.0	1012	https://www.orthodb.org/v10?query=3935at3193	P-type ATPase
3941at3193	Complete	h1tg000003l	92067024	92090802	-	1321.9	987	https://www.orthodb.org/v10?query=3941at3193	trafficking protein particle complex subunit 8
3942at3193	Complete	h1tg000002l	24489450	24497538	-	1722.5	1133	https://www.orthodb.org/v10?query=3942at3193	splicing factor 3B subunit 3
3971at3193	Complete	h1tg000001l	14383577	14396299	+	1485.4	910	https://www.orthodb.org/v10?query=3971at3193	transcription initiation factor TFIID subunit 2
4051at3193	Complete	h1tg000002l	22782156	22790500	+	1529.1	913	https://www.orthodb.org/v10?query=4051at3193	beta-galactosidase
4115at3193	Complete	h1tg000015l	26890070	26903230	+	1672.5	945	https://www.orthodb.org/v10?query=4115at3193	Quinoprotein amine dehydrogenase, beta chain-like RIC1-like guanyl-nucleotide exchange factor
4251at3193	Complete	h1tg000006l	57034163	57038353	+	1650.3	1072	https://www.orthodb.org/v10?query=4251at3193	ARF guanine-nucleotide exchange factor GNL2
4343at3193	Complete	h1tg000015l	25037290	25049291	-	1628.9	999	https://www.orthodb.org/v10?query=4343at3193	tubulin-folding cofactor D
4349at3193	Complete	h1tg000015l	29864660	29875088	+	1761.2	930	https://www.orthodb.org/v10?query=4349at3193	stromal processing peptidase, chloroplastic
4482at3193	Duplicated	h1tg000002l	73536378	73548146	-	1715.9	1209	https://www.orthodb.org/v10?query=4482at3193	WD40-repeat-containing domain
4482at3193	Duplicated	h1tg000004l	101778	113569	+	1712.2	1213	https://www.orthodb.org/v10?query=4482at3193	WD40-repeat-containing domain
4483at3193	Complete	h1tg000003l	10468076	10472754	+	1924.4	950	https://www.orthodb.org/v10?query=4483at3193	carbamoyl-phosphate synthase large chain, chloroplastic
4547at3193	Complete	h1tg000004l	15218167	15232150	+	1439.1	1555	https://www.orthodb.org/v10?query=4547at3193	Tetratricopeptide-like helical domain containing protein
4582at3193	Duplicated	h1tg000009l	77717275	77732129	+	1624.0	969	https://www.orthodb.org/v10?query=4582at3193	SH3 domain
4582at3193	Duplicated	h1tg000015l	14635531	14670087	-	1469.6	927	https://www.orthodb.org/v10?query=4582at3193	SH3 domain
4678at3193	Complete	h1tg000013l	6619760	6652145	+	1631.1	998	https://www.orthodb.org/v10?query=4678at3193	WD40-repeat-containing domain
4777at3193	Complete	h1tg000004l	66733682	66742114	+	1382.8	939	https://www.orthodb.org/v10?query=4777at3193	trafficking protein particle complex subunit 11
4892at3193	Complete	h1tg000003l	90289295	90295655	-	1470.2	920	https://www.orthodb.org/v10?query=4892at3193	E3 ubiquitin-protein ligase UPL7
5135at3193	Complete	h1tg000002l	14102214	14117066	-	1615.3	1182	https://www.orthodb.org/v10?query=5135at3193	Zinc finger, PHD-type
5232at3193	Complete	h1tg000007l	27507039	27514925	-	1771.8	1067	https://www.orthodb.org/v10?query=5232at3193	F-box protein
5261at3193	Complete	h1tg000008l	1743008	1752587	-	1111.3	736	https://www.orthodb.org/v10?query=5261at3193	Nucleotidyltransferase family protein
5306at3193	Complete	h1tg000004l	6392584	6406211	+	1126.2	900	https://www.orthodb.org/v10?query=5306at3193	Tetratricopeptide repeat
5602at3193	Complete	h1tg000002l	26201782	26208726	+	1067.1	908	https://www.orthodb.org/v10?query=5602at3193	protein PRD1
5603at3193	Complete	h1tg000009l	66866119	66871624	-	1465.1	907	https://www.orthodb.org/v10?query=5603at3193	protein CHROMATIN REMODELING 8
5727at3193	Complete	h1tg000015l	6948794	6958268	-	1448.8	865	https://www.orthodb.org/v10?query=5727at3193	PPM-type phosphatase domain
5761at3193	Complete	h1tg000012l	15564671	15579819	+	1075.2	830	https://www.orthodb.org/v10?query=5761at3193	Nrap protein
5793at3193	Complete	h1tg000006l	7544078	7576288	-	1745.2	1397	https://www.orthodb.org/v10?query=5793at3193	tRNA/rRNA methyltransferase
5796at3193	Complete	h1tg000008l	10276520	10285298	-	1689.6	931	https://www.orthodb.org/v10?query=5796at3193	MIF4G-like domain superfamily
5849at3193	Complete	h1tg000008l	13228851	13237322	+	1403.5	1020	https://www.orthodb.org/v10?query=5849at3193	Armadillo-type fold
5868at3193	Complete	h1tg000001l	90296078	90304698	+	1117.5	954	https://www.orthodb.org/v10?query=5868at3193	transcriptional elongation regulator MINIYO
5921at3193	Duplicated	h1tg000002l	27457889	27464276	-	1747.1	957	https://www.orthodb.org/v10?query=5921at3193	DNA mismatch repair protein
5921at3193	Duplicated	h1tg000007l	68407814	68416941	+	1645.7	916	https://www.orthodb.org/v10?query=5921at3193	DNA mismatch repair protein
6095at3193	Complete	h1tg000008l	5246958	5257847	-	842.3	655	https://www.orthodb.org/v10?query=6095at3193	Gamma-tubulin complex component
6114at3193	Complete	h1tg000001l	89340860	89347184	+	1440.3	859	https://www.orthodb.org/v10?query=6114at3193	DExH-box ATP-dependent RNA helicase DExH15 chloroplastic
6319at3193	Complete	h1tg000003l	15483564	15502856	-	1448.7	859	https://www.orthodb.org/v10?query=6319at3193	glycine--tRNA ligase, chloroplastic/mitochondrial 2 isoform X1
6412at3193	Complete	h1tg000015l	23085513	23094851	-	1680.5	1101	https://www.orthodb.org/v10?query=6412at3193	DNA mismatch repair protein MSH6
6430at3193	Complete	h1tg000001l	64315040	64324222	-	880.5	696	https://www.orthodb.org/v10?query=6430at3193	protein timeless homolog isoform X1
6485at3193	Complete	h1tg000007l	10892107	10906351	-	1473.4	979	https://www.orthodb.org/v10?query=6485at3193	nodal modulator 1
6707at3193	Complete	h1tg000002l	6535638	6541181	-	1266.5	789	https://www.orthodb.org/v10?query=6707at3193	Ankyrin repeat-containing domain
6756at3193	Complete	h1tg000004l	67674405	67694251	+	1332.9	807	https://www.orthodb.org/v10?query=6756at3193	Thioredoxin-like fold
7170at3193	Complete	h1tg000006l	61378804	61387263	+	1462.1	906	https://www.orthodb.org/v10?query=7170at3193	protein CTR9 homolog
7277at3193	Complete	h1tg000007l	76047130	76058757	+	1478.2	840	https://www.orthodb.org/v10?query=7277at3193	Zinc finger, CCHC-type
7476at3193	Complete	h1tg000006l	7467282	7488666	-	1443.0	972	https://www.orthodb.org/v10?query=7476at3193	exportin-4 isoform X1
7510at3193	Complete	h1tg000012l	853705	864102	-	1281.0	865	https://www.orthodb.org/v10?query=7510at3193	nuclear pore complex protein NUP107
7511at3193	Complete	h1tg000004l	19479885	19485339	-	1135.9	739	https://www.orthodb.org/v10?query=7511at3193	F-box protein
7542at3193	Complete	h1tg000003l	76070148	76082935	+	1499.1	920	https://www.orthodb.org/v10?query=7542at3193	serine/threonine-protein kinase RUNKEL
7552at3193	Complete	h1tg000006l	59266742	59272710	-	1752.1	850	https://www.orthodb.org/v10?query=7552at3193	116kDa U5 small nuclear ribonucleoprotein component, C-terminal
7852at3193	Complete	h1tg000008l	17649358	17654140	+	1468.8	800	https://www.orthodb.org/v10?query=7852at3193	vacuolar protein-sorting-associated protein 11 homolog
7936at3193	Duplicated	h1tg000009l	9666044	9681258	+	1284.6	837	https://www.orthodb.org/v10?query=7936at3193	Armadillo-type fold
7936at3193	Duplicated	h1tg000012l	12235616	12240113	-	1290.3	839	https://www.orthodb.org/v10?query=7936at3193	Armadillo-type fold
7942at3193	Complete	h1tg000008l	11353097	11361515	+	1592.3	878	https://www.orthodb.org/v10?query=7942at3193	isoleucine--tRNA ligase, chloroplastic/mitochondrial
