['ptg000001l', 102842140]
['ptg000004l', 99483747]
['ptg000008l', 80864136]
['ptg000005l', 74898327]
['ptg000002l', 73662154]
['ptg000010l', 61097409]
['ptg000006l', 60875684]
['ptg000016l', 41018276]
['ptg000013l', 35938373]
['ptg000019l', 35103991]
['ptg000009l', 25671355]
['ptg000014l', 22197475]
['ptg000007l', 20777141]
['ptg000017l', 18675365]
['ptg000011l', 17645633]
['ptg000015l', 17505205]
['ptg000012l', 13179734]
['ptg000021l', 4554644]
['ptg000003l', 4518288]
['ptg000018l', 3762756]
['ptg000023l', 1845150]
['ptg000022l', 712270]
['ptg000020l', 561356]
['ptg000024c', 476715]
['ptg000027l', 255649]
['ptg000026l', 143335]
['ptg000025c', 116865]
['ptg000032l', 89214]
['ptg000028l', 60626]
['ptg000035l', 38763]
['ptg000034l', 33032]
['ptg000031l', 32429]
['ptg000043l', 24836]
['ptg000040l', 24772]
['ptg000038l', 24089]
['ptg000037l', 22186]
['ptg000030l', 22152]
['ptg000036l', 22091]
['ptg000041l', 21585]
['ptg000046l', 20972]
['ptg000039l', 20109]
['ptg000029l', 17484]
['ptg000033l', 16283]
['ptg000048l', 8432]
['ptg000045l', 7893]
['ptg000044l', 7855]
['ptg000047l', 7802]
['ptg000042l', 6865]
