['HiC_scaffold_7', 112042449]
['HiC_scaffold_4', 110197882]
['HiC_scaffold_1', 99273637]
['HiC_scaffold_6', 96368975]
['HiC_scaffold_2', 88799776]
['HiC_scaffold_8', 83741117]
['HiC_scaffold_5', 79048495]
['HiC_scaffold_3', 72230863]
['HiC_scaffold_9', 65871952]
['HiC_scaffold_94', 640000]
['HiC_scaffold_165', 364000]
['HiC_scaffold_95', 314000]
['HiC_scaffold_14', 293400]
['HiC_scaffold_156', 275000]
['HiC_scaffold_72', 268137]
['HiC_scaffold_53', 258484]
['HiC_scaffold_146', 223000]
['HiC_scaffold_51', 205049]
['HiC_scaffold_80', 200000]
['HiC_scaffold_108', 188876]
['HiC_scaffold_125', 188489]
['HiC_scaffold_93', 179670]
['HiC_scaffold_68', 164863]
['HiC_scaffold_73', 158863]
['HiC_scaffold_135', 142178]
['HiC_scaffold_63', 139518]
['HiC_scaffold_97', 132000]
['HiC_scaffold_126', 128511]
['HiC_scaffold_167', 119230]
['HiC_scaffold_31', 116865]
['HiC_scaffold_176', 107619]
['HiC_scaffold_12', 100500]
['HiC_scaffold_67', 99137]
['HiC_scaffold_151', 99000]
['HiC_scaffold_157', 97000]
['HiC_scaffold_177', 90585]
['HiC_scaffold_107', 88000]
['HiC_scaffold_52', 87849]
['HiC_scaffold_168', 76000]
['HiC_scaffold_43', 74000]
['HiC_scaffold_150', 72124]
['HiC_scaffold_111', 72051]
['HiC_scaffold_23', 69801]
['HiC_scaffold_40', 69257]
['HiC_scaffold_55', 64000]
['HiC_scaffold_35', 61520]
['HiC_scaffold_17', 60626]
['HiC_scaffold_166', 59320]
['HiC_scaffold_16', 57292]
['HiC_scaffold_189', 56350]
['HiC_scaffold_90', 54900]
['HiC_scaffold_190', 53549]
['HiC_scaffold_133', 53000]
['HiC_scaffold_195', 52597]
['HiC_scaffold_92', 52000]
['HiC_scaffold_86', 51100]
['HiC_scaffold_198', 50933]
['HiC_scaffold_88', 50530]
['HiC_scaffold_118', 49525]
['HiC_scaffold_199', 48233]
['HiC_scaffold_200', 47888]
['HiC_scaffold_115', 47427]
['HiC_scaffold_25', 47140]
['HiC_scaffold_10', 44000]
['HiC_scaffold_64', 41863]
['HiC_scaffold_26', 41843]
['HiC_scaffold_188', 41498]
['HiC_scaffold_33', 41247]
['HiC_scaffold_106', 40900]
['HiC_scaffold_18', 40536]
['HiC_scaffold_28', 37000]
['HiC_scaffold_65', 36000]
['HiC_scaffold_59', 35195]
['HiC_scaffold_71', 34000]
