['HiC_scaffold_9', 113378553]
['HiC_scaffold_1', 111180000]
['HiC_scaffold_4', 99474532]
['HiC_scaffold_11', 97072500]
['HiC_scaffold_3', 90406282]
['HiC_scaffold_10', 79294000]
['HiC_scaffold_2', 73662154]
['HiC_scaffold_6', 66582500]
['HiC_scaffold_8', 44641000]
['HiC_scaffold_7', 41921368]
['HiC_scaffold_33', 371000]
['HiC_scaffold_5', 212695]
['HiC_scaffold_13', 143335]
['HiC_scaffold_15', 116865]
['HiC_scaffold_16', 63000]
['HiC_scaffold_14', 60626]
['HiC_scaffold_18', 32429]
['HiC_scaffold_12', 23678]
['HiC_scaffold_34', 19037]
['HiC_scaffold_17', 17484]
['HiC_scaffold_29', 16925]
['HiC_scaffold_21', 15963]
['HiC_scaffold_31', 14677]
['HiC_scaffold_20', 12161]
['HiC_scaffold_26', 10540]
['HiC_scaffold_19', 9215]
['HiC_scaffold_27', 9075]
['HiC_scaffold_30', 7861]
['HiC_scaffold_25', 7839]
['HiC_scaffold_23', 7785]
['HiC_scaffold_28', 6064]
['HiC_scaffold_22', 4000]
['HiC_scaffold_32', 2323]
['HiC_scaffold_24', 1000]
